# num_of_synapses av_deg std_deg average_strength_of_synapses average_stddev_of_synapses
610979.0 201.178465591044 86.49426708711 10.658860615504 7.89774020586335
612047.0 201.5301284162 84.1263347705473 10.6913096543239 7.90451105858397
610671.0 201.077049720119 83.2701012947008 10.7155505992588 7.89833114743166
616076.0 202.856766545933 84.8754742484117 10.7478898707302 7.92095723709995
608238.0 200.275930194271 81.8456524400928 10.6754855829462 7.89963923975447
611936.0 201.49357918999 84.3148198470043 10.6951854442295 7.91082612731392
608376.0 200.321369772802 84.5653442366801 10.6958213341749 7.90031469927952
605403.0 199.342443200527 81.5835612381417 10.7105498320953 7.90524460849509
604890.0 199.173526506421 83.9576926548168 10.6806758253567 7.90303142898548
599160.0 197.286796180441 84.0511220021549 10.6840159556713 7.91314521639011
