# num_of_synapses av_deg std_deg average_strength_of_synapses average_stddev_of_synapses
368251.0 121.254856766546 54.2099867864746 10.5140135396781 7.42159988698805
364476.0 120.011853803095 52.6856582809425 10.5233348697857 7.40661535168385
365895.0 120.479091208429 54.5282154785055 10.4976700966124 7.41015647677231
368010.0 121.17550214027 54.2704463695199 10.5027173174642 7.40388991599377
361395.0 118.997365821534 52.7899646564717 10.504223910126 7.39762445725137
368366.0 121.292723081989 54.9330144639527 10.5099303410195 7.40793860128691
363612.0 119.727362528811 54.046615375777 10.4540939242929 7.38330457226889
364403.0 119.987816924597 54.7617840845531 10.4990710833884 7.41569105443737
362467.0 119.350345735924 53.2648566716544 10.5133874256139 7.41305079310042
366504.0 120.679618044122 54.3932112051503 10.4920464715255 7.4173905651474
