# num_of_synapses av_deg std_deg average_strength_of_synapses average_stddev_of_synapses
342972.0 112.931182087586 50.6572105976096 9.41488518013132 6.5521158922818
334018.0 109.982877839974 48.4409729424791 9.39041309151004 6.54530595667217
331225.0 109.063220283174 49.7651973161326 9.36846856366518 6.5310100898676
330712.0 108.894303589068 48.9648697472167 9.38814739108348 6.54054025416128
331582.0 109.180770497201 49.0945669980369 9.37089468065215 6.52903784367358
332208.0 109.386894962134 49.6382780007292 9.42195552184174 6.53682862987838
334715.0 110.212380638788 49.9972538412406 9.34849648208177 6.52649926979907
333055.0 109.665788607178 49.9635223389663 9.38719730975364 6.55423598642743
334499.0 110.141257820217 49.5471371683462 9.40743320607834 6.54679634306834
336357.0 110.753045768851 49.9614628714083 9.41808554601212 6.54241599221463
