0 0 2.34256	0 0 1.17478
0.0290527 42.0807 45.0446	0 2858.79 150.305
0.0292969 56.5878 45.7524	0 2393.88 151.201
0.029541 37.7477 46.5289	0 1374.32 153.148
0.0297852 43.6004 47.3934	0 1450.85 156.616
0.0300293 49.3559 48.359	0 2199.6 161.834
0.0302734 45.9929 49.4278	0 2192.53 168.766
0.0305176 41.205 50.5884	0 1557.8 177.102
0.0307617 47.5396 51.8167	0 1849.67 186.262
0.0310059 51.5881 53.0783	0 1908.1 195.441
0.03125 56.2453 54.3354	0 3536.7 203.787
0.0314941 66.1435 55.5533	0 3727.55 210.71
0.0317383 65.3552 56.7072	0 3574.27 216.22
0.0319824 64.1384 57.7864	0 4316.34 221.125
0.0322266 60.7665 58.796	0 2829.28 226.911
0.0324707 52.2353 59.7537	0 2969.43 235.263
0.0327148 59.2464 60.685	0 3364.18 247.391
0.032959 56.9396 61.6163	0 4681.41 263.419
0.0332031 57.8744 62.5688	0 3228.49 282.153
0.0334473 70.1448 63.554	0 5210.35 301.373
0.0336914 53.0072 64.5718	0 3384.75 318.549
0.0339355 66.8394 65.6122	0 6211.92 331.706
0.0341797 72.6283 66.6577	0 3404.72 340.048
0.0344238 70.3678 67.6881	0 4620.56 344.102
0.034668 74.9581 68.6848	0 6206.69 345.378
0.0349121 68.12 69.6333	0 3712.99 345.731
0.0351562 70.4002 70.5262	0 4497.58 346.718
0.0354004 65.8427 71.3634	0 3936.99 349.164
0.0356445 73.9921 72.1527	0 6195.12 353.054
0.0358887 78.0985 72.9094	0 5209.24 357.735
0.0361328 69.836 73.6555	0 5324.9 362.362
0.036377 79.7383 74.4188	0 7810.16 366.437
0.0366211 77.4583 75.231	0 6001.86 370.219
0.0368652 78.7728 76.1249	0 5629.69 374.803
0.0371094 61.9652 77.1305	0 4678.36 381.787
0.0373535 77.1637 78.271	0 5716.59 392.657
0.0375977 74.7214 79.5586	0 6711 408.217
0.0378418 81.7863 80.9915	0 5048.67 428.381
0.0380859 69.6644 82.5528	0 5641.79 452.407
0.0383301 86.4376 84.2112	0 8555.32 479.363
0.0385742 95.3764 85.9244	0 8416.6 508.464
0.0388184 89.3304 87.6435	0 7851.04 539.027
0.0390625 81.8825 89.3195	0 6634.13 570.132
0.0393066 87.3971 90.9088	0 6987.37 600.334
0.0395508 98.2065 92.3782	0 9367.2 627.777
0.0397949 113.377 93.7087	0 10592.7 650.768
0.0400391 102.716 94.8966	0 9847.49 668.461
0.0402832 96.5715 95.9521	0 10617.8 681.221
0.0405273 83.4951 96.8964	0 6824.4 690.439
0.0407715 93.4657 97.7577	0 7715.56 697.951
0.0410156 95.2443 98.5656	0 6183.02 705.483
0.0412598 101.282 99.3468	0 12859 714.444
0.0415039 120.708 100.12	0 15864 726.029
0.041748 96.2904 100.894	0 7928 741.341
0.0419922 101.677 101.663	0 10058.3 761.227
0.0422363 75.2919 102.405	0 5073.73 785.787
0.0424805 95.7359 103.085	0 9257.47 813.833
0.0427246 131.42 103.654	0 15735.7 842.659
0.0429688 109.572 104.055	0 9577.16 868.355
0.0432129 103.985 104.227	0 9071.41 886.583
0.043457 99.9013 104.113	0 12139.6 893.555
0.0437012 114.972 103.666	0 18748 886.885
0.0439453 114.512 102.856	0 12606.2 866.104
0.0441895 103.49 101.673	0 7456.47 832.72
0.0444336 123.268 100.128	0 24883.7 789.844
0.0446777 85.9914 98.254	0 8598.87 741.444
0.0449219 112.478 96.0967	0 13072.4 691.421
0.045166 81.9199 93.7133	0 5028.54 642.758
