0 0 0.822842	0 0 0.0659928
0.000244141 1.74136 0.984046	0 3.33116 0.0827665
0.000488281 1.57498 1.15328	0 2.39058 0.100384
0.000732422 1.51541 1.32816	0 2.22352 0.119302
0.000976562 1.7932 1.50742	0 3.31672 0.140902
0.0012207 1.65356 1.69119	0 2.77697 0.167446
0.00146484 1.83546 1.88118	0 2.60648 0.201809
0.00170898 1.98115 2.08057	0 3.04855 0.247151
0.00195312 1.96802 2.29376	0 4.09525 0.306699
0.00219727 2.02461 2.52603	0 3.34321 0.383763
0.00244141 2.33435 2.78315	0 8.2214 0.481903
0.00268555 2.59487 3.07101	0 7.57321 0.605066
0.00292969 3.00499 3.39531	0 7.01414 0.757453
0.00317383 3.30717 3.76135	0 11.491 0.94314
0.00341797 3.60903 4.17371	0 13.3436 1.16577
0.00366211 3.47628 4.63606	0 11.0227 1.429
0.00390625 4.27006 5.15091	0 28.4788 1.73836
0.00415039 4.57506 5.71926	0 25.4163 2.10458
0.00439453 6.32247 6.34033	0 46.2122 2.5474
0.00463867 5.78829 7.01124	0 59.748 3.09769
0.00488281 7.86474 7.7267	0 60.7389 3.79518
0.00512695 7.08267 8.47879	0 42.4521 4.68067
0.00537109 7.9319 9.25685	0 77.0378 5.78385
0.00561523 10.8391 10.0476	0 121.385 7.11097
0.00585938 10.7227 10.8352	0 108.645 8.63711
0.00610352 12.5684 11.6022	0 221.833 10.3056
0.00634766 12.9924 12.3299	0 170.391 12.0333
0.0065918 13.139 12.9996	0 145.048 13.7188
0.00683594 14.3716 13.5937	0 202.854 15.2509
0.00708008 16.7085 14.097	0 296.348 16.5179
0.00732422 18.1884 14.4977	0 298.02 17.4215
0.00756836 15.7905 14.7883	0 253.689 17.894
0.0078125 17.4233 14.9666	0 344.031 17.9147
0.00805664 14.7563 15.0352	0 226.263 17.5176
0.00830078 17.344 15.0015	0 240.155 16.7828
0.00854492 17.4244 14.8772	0 279.05 15.8145
0.00878906 14.888 14.6773	0 222.817 14.7141
0.0090332 13.6816 14.4186	0 199.665 13.5617
0.00927734 13.6941 14.1189	0 166.018 12.4126
0.00952148 14.6736 13.7958	0 256.154 11.3079
0.00976562 15.0103 13.4651	0 216.61 10.2877
0.0100098 10.96 13.1408	0 110.14 9.3968
0.0102539 11.5138 12.8338	0 93.295 8.67899
0.010498 11.4893 12.552	0 133.333 8.16343
0.0107422 11.6775 12.3001	0 144.534 7.85224
0.0109863 11.004 12.0805	0 127.884 7.71647
0.0112305 14.0355 11.8936	0 155.172 7.70195
0.0114746 11.6044 11.7383	0 94.712 7.74236
0.0117188 9.60772 11.6135	0 95.1765 7.77511
0.0119629 11.1916 11.5179	0 95.5943 7.75657
0.012207 11.2003 11.4508	0 161.082 7.67359
0.0124512 12.1007 11.4119	0 148.655 7.54816
0.0126953 11.1504 11.401	0 113.775 7.43169
0.0129395 11.6397 11.4179	0 136.052 7.38878
0.0131836 9.09861 11.4613	0 87.6726 7.47499
0.0134277 11.4996 11.5291	0 126.336 7.71709
0.0136719 10.3901 11.6173	0 87.6697 8.10464
0.013916 11.5251 11.7209	0 140.616 8.59598
0.0141602 13.1806 11.8335	0 229.087 9.13489
0.0144043 11.0799 11.9483	0 95.5013 9.66859
0.0146484 13.5215 12.0587	0 194.59 10.1586
0.0148926 12.7894 12.1588	0 140.559 10.5813
0.0151367 10.9723 12.2442	0 107.451 10.9227
0.0153809 12.9052 12.3121	0 160.976 11.1732
0.015625 15.056 12.3612	0 219.846 11.3278
0.0158691 11.989 12.392	0 156.77 11.3901
0.0161133 11.2668 12.406	0 131.816 11.3741
0.0163574 11.2232 12.4053	0 118.997 11.3011
0.0166016 14.5079 12.3927	0 135.61 11.191
0.0168457 11.2759 12.3713	0 129.89 11.0544
