0 0 3.4402	0 0 2.56479
0.000244141 6.39356 4.11982	0 49.9455 3.53058
0.000488281 6.05595 4.82621	0 36.9973 4.659
0.000732422 7.18645 5.54297	0 61.0914 5.9329
0.000976562 6.57983 6.25651	0 60.7376 7.34702
0.0012207 8.99854 6.95768	0 105.044 8.92007
0.00146484 8.29558 7.64262	0 57.5583 10.6989
0.00170898 7.96488 8.31262	0 56.3248 12.7523
0.00195312 8.1879 8.97319	0 78.3144 15.1582
0.00219727 9.49878 9.63255	0 137.523 17.9903
0.00244141 9.55807 10.3	0 111.88 21.3101
0.00268555 10.5268 10.9842	0 100.454 25.1653
0.00292969 10.3984 11.6922	0 101.192 29.5886
0.00317383 13.8559 12.4282	0 200.612 34.5912
0.00341797 10.9658 13.1935	0 186.636 40.1474
0.00366211 13.8078 13.9861	0 208.475 46.1759
0.00390625 13.2711 14.8009	0 189.579 52.5267
0.00415039 17.6088 15.6304	0 321.836 58.987
0.00439453 15.9534 16.465	0 334.11 65.3062
0.00463867 15.852 17.2938	0 422.332 71.2391
0.00488281 18.6626 18.1059	0 244.523 76.5908
0.00512695 20.6038 18.8911	0 576.903 81.2531
0.00537109 20.7348 19.6411	0 642.96 85.2215
0.00561523 21.6904 20.3508	0 776.545 88.5907
0.00585938 20.936 21.0184	0 1064.19 91.5324
0.00610352 22.1922 21.646	0 558.39 94.265
0.00634766 26.9807 22.2391	0 907.142 97.03
0.0065918 19.7632 22.8058	0 450.082 100.089
0.00683594 22.2024 23.3557	0 635.228 103.741
0.00708008 24.7868 23.8984	0 519.646 108.356
0.00732422 23.6145 24.4416	0 595.78 114.368
0.00756836 24.5091 24.9906	0 1051.21 122.228
0.0078125 24.794 25.5468	0 1042.29 132.275
0.00805664 24.3868 26.1082	0 586.306 144.595
0.00830078 28.9286 26.6691	0 652.681 158.896
0.00854492 27.3912 27.2214	0 714.432 174.501
0.00878906 26.4923 27.7559	0 1412.8 190.452
0.0090332 27.2499 28.2634	0 1023.76 205.7
0.00927734 33.4375 28.7362	0 896.728 219.311
0.00952148 31.0416 29.1688	0 986.799 230.619
0.00976562 29.8023 29.5587	0 795.949 239.275
0.0100098 30.1449 29.9057	0 1231.3 245.222
0.0102539 29.3136 30.212	0 1206.57 248.615
0.010498 31.3391 30.4803	0 1065.32 249.715
0.0107422 27.7348 30.7139	0 858.477 248.806
0.0109863 37.8161 30.9148	0 2726.77 246.134
0.0112305 26.1055 31.0841	0 674.468 241.898
0.0114746 30.0363 31.2214	0 1016.92 236.286
0.0117188 35.9387 31.325	0 1996.92 229.532
0.0119629 32.132 31.393	0 1375.39 221.953
0.012207 32.2104 31.4232	0 1963.54 213.945
0.0124512 29.8424 31.4147	0 794.526 205.917
0.0126953 30.1743 31.3683	0 1642.84 198.2
0.0129395 34.1846 31.287	0 1263.13 190.982
0.0131836 32.6485 31.1767	0 1222.21 184.323
0.0134277 29.5428 31.0456	0 1046.87 178.253
0.0136719 35.8331 30.9041	0 1471.11 172.886
0.013916 32.5234 30.7637	0 1028.31 168.481
0.0141602 24.4321 30.636	0 871.932 165.371
0.0144043 25.9659 30.5317	0 715.601 163.801
0.0146484 28.0218 30.4599	0 942.561 163.779
0.0148926 32.3044 30.4278	0 1874.17 165.053
0.0151367 36.8687 30.4409	0 1380.84 167.241
0.0153809 31.012 30.5026	0 1077.99 170.036
0.015625 25.6944 30.6148	0 770.455 173.332
0.0158691 30.6231 30.7773	0 1173.11 177.208
0.0161133 25.7566 30.9883	0 608.391 181.768
0.0163574 28.1548 31.2437	0 656.964 186.969
0.0166016 34.8547 31.5377	0 1891.82 192.544
0.0168457 34.3867 31.8627	0 1548.92 198.083
0.0170898 31.9977 32.2106	0 1700.31 203.188
0.017334 33.4179 32.5728	0 1344.71 207.627
0.0175781 31.4216 32.9417	0 838.521 211.371
0.0178223 32.0518 33.3105	0 1535.19 214.522
0.0180664 34.7943 33.6741	0 1633.56 217.182
0.0183105 31.8055 34.0292	0 873.228 219.358
0.0185547 36.2486 34.374	0 1097.34 220.949
0.0187988 36.2394 34.708	0 2742.09 221.838
0.019043 37.3697 35.0314	0 1518.13 222.012
0.0192871 36.3493 35.3445	0 1296.29 221.638
0.0195312 34.8594 35.6467	0 1329.6 221.045
0.0197754 29.9183 35.9366	0 1054.14 220.615
0.0200195 32.7682 36.2111	0 1433.45 220.644
0.0202637 43.5698 36.467	0 1395.01 221.236
0.0205078 36.037 36.7018	0 1570.06 222.288
0.020752 40.0177 36.9155	0 2951.02 223.539
0.0209961 38.764 37.112	0 1457.25 224.684
0.0212402 34.6922 37.3	0 944.415 225.466
0.0214844 41.1588 37.4927	0 1753.3 225.762
0.0217285 37.1837 37.706	0 1874.1 225.608
0.0219727 39.2205 37.9561	0 1323.59 225.204
0.0222168 31.7334 38.2565	0 1496.24 224.869
0.0224609 30.4718 38.6153	0 768.174 224.956
0.0227051 42.4205 39.0336	0 3526.95 225.738
0.0229492 37.4008 39.5053	0 1114.85 227.295
0.0231934 39.3594 40.0184	0 1698.37 229.458
0.0234375 44.8723 40.5571	0 2143.18 231.85
0.0236816 42.1424 41.1049	0 2914.44 234.001
0.0239258 42.9074 41.6476	0 2189.48 235.503
0.0241699 41.3125 42.1754	0 1692.95 236.122
0.0244141 40.0417 42.6846	0 1942.88 235.845
0.0246582 47.4605 43.1774	0 3339.43 234.881
0.0249023 42.0152 43.6617	0 2081.15 233.651
0.0251465 48.7558 44.1491	0 1526.46 232.772
0.0253906 43.2889 44.653	0 1914.61 233.006
0.0256348 41.0805 45.1864	0 1903.95 235.147
0.0258789 47.2312 45.7595	0 2385.41 239.876
0.026123 37.0477 46.3793	0 1759.06 247.636
0.0263672 48.5042 47.0482	0 2592.57 258.587
0.0266113 49.3842 47.7653	0 2893.76 272.603
0.0268555 51.7766 48.5275	0 3992.63 289.286
0.0270996 48.7552 49.3314	0 2467.36 307.968
0.0273438 45.841 50.1748	0 2012.29 327.728
0.0275879 53.1116 51.0577	0 3428.98 347.533
0.027832 51.0407 51.9824	0 3352.79 366.521
0.0280762 55.6528 52.9522	0 3634.01 384.332
0.0283203 55.9223 53.9696	0 4173.76 401.326
0.0285645 50.1533 55.0344	0 2490.78 418.514
0.0288086 51.0771 56.1418	0 2862.9 437.203
0.0290527 51.7392 57.282	0 2302.44 458.508
0.0292969 49.7219 58.4406	0 2870.87 482.941
0.029541 76.9154 59.6004	0 4413.72 510.246
0.0297852 70.557 60.7435	0 7716.65 539.444
0.0300293 57.2524 61.8544	0 2895.24 569.006
0.0302734 65.7504 62.9218	0 5582.83 597.005
0.0305176 50.2496 63.9407	0 2105.12 621.259
0.0307617 64.3959 64.9138	0 4797.29 639.53
0.0310059 76.8408 65.8521	0 8586.42 649.868
0.03125 65.7939 66.7749	0 8988.32 651.106
0.0314941 80.44 67.7094	0 5470.93 643.343
0.0317383 60.8429 68.6893	0 6634.44 628.181
0.0319824 65.4286 69.7515	0 5640.77 608.541
0.0322266 62.6169 70.9323	0 6097.99 588.073
0.0324707 71.679 72.2627	0 6024.64 570.372
0.0327148 73.3018 73.7634	0 6453.02 558.272
0.032959 77.1643 75.4413	0 6678.98 553.431
