0 0 1.07438	0 0 0.14822
0.000244141 1.96115 1.2868	0 3.60977 0.197977
0.000488281 2.23975 1.5095	0 5.71648 0.253426
0.000732422 1.96604 1.7388	0 3.96603 0.312479
0.000976562 2.4778 1.97232	0 6.49854 0.373213
0.0012207 2.32925 2.20938	0 6.95873 0.434536
0.00146484 2.33744 2.4513	0 4.15381 0.496901
0.00170898 2.31666 2.70126	0 5.62917 0.562944
0.00195312 2.57659 2.96397	0 5.23165 0.637913
0.00219727 3.03628 3.24519	0 9.7842 0.729661
0.00244141 3.16189 3.55114	0 7.60994 0.848082
0.00268555 3.75895 3.88783	0 12.7966 1.0039
0.00292969 3.54325 4.26058	0 14.5507 1.20679
0.00317383 3.29084 4.67339	0 14.515 1.46313
0.00341797 5.09658 5.12864	0 31.9529 1.77375
0.00366211 4.53324 5.6268	0 18.2487 2.13275
0.00390625 5.63499 6.16634	0 34.8482 2.5286
0.00415039 5.16971 6.74391	0 26.5525 2.94788
0.00439453 7.05832 7.35463	0 57.7567 3.38117
0.00463867 8.67045 7.99258	0 81.5822 3.82872
0.00488281 9.75719 8.6513	0 70.1452 4.30305
0.00512695 7.57882 9.32423	0 51.3584 4.82725
0.00537109 9.81661 10.005	0 87.2949 5.42986
0.00561523 11.7046 10.6873	0 139.775 6.1393
0.00585938 12.434 11.3648	0 149.108 6.98064
0.00610352 11.6832 12.0301	0 130.469 7.97492
0.00634766 11.3495 12.6747	0 125.142 9.13859
0.0065918 14.5778 13.2878	0 242.092 10.4791
0.00683594 13.7344 13.8571	0 146.132 11.9851
0.00708008 14.642 14.3685	0 247.22 13.613
0.00732422 14.8749 14.8078	0 242.521 15.2774
0.00756836 16.1545 15.1618	0 221.555 16.8521
0.0078125 19.1921 15.4206	0 351.333 18.1886
0.00805664 19.6164 15.5791	0 285.127 19.1454
0.00830078 19.3669 15.6375	0 264.672 19.6212
0.00854492 17.0826 15.6019	0 294.339 19.5772
0.00878906 14.0273 15.4831	0 175.9 19.0418
0.0090332 14.1925 15.2954	0 200.325 18.0969
0.00927734 14.5441 15.0547	0 182.405 16.8554
0.00952148 14.9304 14.7769	0 163.509 15.4374
0.00976562 14.3651 14.4765	0 172.351 13.9526
0.0100098 15.7489 14.1663	0 262.886 12.4918
0.0102539 13.7911 13.8573	0 192.666 11.1244
0.010498 14.3164 13.5586	0 184.169 9.901
0.0107422 11.6319 13.278	0 156.114 8.85647
0.0109863 12.0224 13.0225	0 149.067 8.01236
0.0112305 11.5758 12.7979	0 146.678 7.37866
0.0114746 13.0357 12.6089	0 145.1 6.95526
0.0117188 12.6536 12.4589	0 124.788 6.73375
0.0119629 10.5798 12.3497	0 97.6125 6.6997
0.012207 11.7245 12.2812	0 123.228 6.83479
0.0124512 11.285 12.2515	0 95.282 7.11842
0.0126953 12.1537 12.2567	0 135.855 7.52814
0.0129395 12.481 12.2911	0 111.534 8.03853
0.0131836 11.1147 12.3479	0 136.369 8.61811
0.0134277 12.5727 12.4193	0 150.614 9.22554
0.0136719 12.2524 12.4976	0 195.647 9.80782
0.013916 13.7934 12.5756	0 160.002 10.3045
0.0141602 10.4645 12.6474	0 152.681 10.66
0.0144043 16.8635 12.7093	0 261.447 10.8416
0.0146484 13.1956 12.7596	0 157.204 10.8562
0.0148926 11.8735 12.799	0 191.129 10.7562
0.0151367 12.5989 12.83	0 212.661 10.6286
0.0153809 12.3132 12.8568	0 102.553 10.5699
0.015625 12.2172 12.8839	0 154.349 10.6542
0.0158691 14.6717 12.9159	0 128.546 10.9094
0.0161133 11.9203 12.9568	0 182.642 11.311
0.0163574 12.4746 13.0092	0 166.072 11.7946
0.0166016 12.0893 13.0744	0 129.381 12.2799
0.0168457 13.8576 13.1523	0 143.692 12.6947
0.0170898 11.3075 13.2413	0 107.386 12.9908
0.017334 14.4394 13.339	0 220.799 13.1476
0.0175781 14.8053 13.4425	0 277.361 13.1696
0.0178223 13.4134 13.5484	0 176.124 13.0796
0.0180664 12.5079 13.6536	0 157.297 12.9145
0.0183105 12.7881 13.7554	0 146.876 12.7203
0.0185547 15.7733 13.8513	0 292.959 12.5474
0.0187988 14.0423 13.9398	0 165.805 12.4415
0.019043 13.9234 14.0194	0 165.861 12.4346
0.0192871 16.1945 14.0894	0 284.749 12.536
0.0195312 10.9362 14.1491	0 93.5191 12.7303
0.0197754 13.9162 14.1982	0 159.831 12.981
0.0200195 16.7835 14.2365	0 264.862 13.242
0.0202637 14.5316 14.2637	0 200.6 13.4718
0.0205078 14.1841 14.2798	0 237.311 13.6434
0.020752 13.9491 14.2849	0 150.13 13.748
0.0209961 12.99 14.2795	0 133.673 13.7915
0.0212402 15.0264 14.2645	0 147.635 13.7872
0.0214844 16.9716 14.2413	0 347.289 13.7498
0.0217285 11.9424 14.212	0 142.186 13.6923
0.0219727 15.77 14.1794	0 182.495 13.6223
0.0222168 13.0727 14.1469	0 165.88 13.5389
0.0224609 13.0499 14.118	0 156.592 13.4309
0.0227051 14.9888 14.0963	0 449.226 13.2811
0.0229492 15.2256 14.085	0 253.754 13.0762
0.0231934 13.493 14.0865	0 188.744 12.8186
0.0234375 11.6007 14.102	0 129.614 12.5317
0.0236816 14.1958 14.1316	0 231.645 12.2537
0.0239258 13.5279 14.1745	0 156.598 12.0245
0.0241699 15.0152 14.2292	0 252.504 11.8718
0.0244141 14.744 14.2938	0 248.868 11.8056
0.0246582 14.4726 14.3671	0 150.62 11.822
0.0249023 14.9253 14.4481	0 198.798 11.9139
0.0251465 14.7879 14.5363	0 149.884 12.0811
0.0253906 14.0344 14.6318	0 181.026 12.3371
0.0256348 13.2344 14.7344	0 101.813 12.7086
0.0258789 15.387 14.8433	0 337.004 13.2294
0.026123 13.7456 14.9571	0 247.617 13.9273
0.0263672 15.9299 15.0731	0 231.989 14.8072
0.0266113 15.2297 15.1879	0 275.575 15.8329
0.0268555 15.7221 15.2979	0 214.175 16.919
0.0270996 14.5182 15.3997	0 202.769 17.9399
0.0273438 16.7209 15.491	0 433.533 18.759
0.0275879 17.0427 15.5708	0 260.728 19.2677
0.027832 16.3235 15.6401	0 425.769 19.4189
0.0280762 14.7499 15.7017	0 240.76 19.2374
0.0283203 14.522 15.7597	0 247.245 18.8066
0.0285645 15.8038 15.8196	0 257.299 18.2414
0.0288086 17.9287 15.8876	0 335.582 17.6633
0.0290527 14.4389 15.9697	0 151.849 17.1868
0.0292969 14.406 16.0715	0 181.678 16.9168
0.029541 17.9308 16.1974	0 215.839 16.9473
0.0297852 15.384 16.3502	0 207.756 17.3551
0.0300293 15.0498 16.5308	0 213.704 18.1865
0.0302734 15.2508 16.7377	0 194.29 19.4438
0.0305176 18.4195 16.9678	0 517.257 21.0746
0.0307617 14.9 17.2159	0 191.818 22.9701
0.0310059 18.9752 17.4764	0 340.618 24.9748
0.03125 17.9767 17.743	0 304.364 26.9094
0.0314941 15.6125 18.0105	0 368.406 28.607
0.0317383 22.8241 18.275	0 433.55 29.9532
0.0319824 19.6876 18.5344	0 295.795 30.915
0.0322266 17.5029 18.7887	0 279.883 31.5425
0.0324707 16.6125 19.0392	0 328.833 31.9401
0.0327148 19.6551 19.2888	0 303.351 32.2176
0.032959 19.458 19.5408	0 521.729 32.4434
0.0332031 20.3895 19.7987	0 353.235 32.6202
0.0334473 20.4487 20.0656	0 274.139 32.6917
0.0336914 20.3785 20.3438	0 447.466 32.5748
