0 0 1.55352	0 0 0.213625
0.000244141 2.66514 1.86452	0 6.75783 0.28136
0.000488281 3.0054 2.19183	0 7.46814 0.354173
0.000732422 3.44342 2.53012	0 10.9772 0.429007
0.000976562 3.37109 2.87555	0 9.814 0.504321
0.0012207 3.19008 3.22625	0 8.39167 0.581362
0.00146484 3.55446 3.58242	0 8.88236 0.665098
0.00170898 3.48685 3.94593	0 11.5905 0.764653
0.00195312 3.49657 4.31966	0 9.84567 0.893148
0.00219727 4.19455 4.70675	0 17.1095 1.06678
0.00244141 4.99835 5.10982	0 19.8195 1.30287
0.00268555 5.04544 5.53046	0 32.3936 1.6167
0.00292969 6.12535 5.96897	0 30.5047 2.01773
0.00317383 5.74408 6.42436	0 33.9894 2.5059
0.00341797 7.11059 6.89449	0 48.9853 3.06983
0.00366211 7.31465 7.37642	0 38.6117 3.68765
0.00390625 7.50615 7.86674	0 46.6061 4.33095
0.00415039 7.84953 8.36191	0 49.5996 4.97107
0.00439453 9.45953 8.85844	0 91.5108 5.58598
0.00463867 9.99404 9.35296	0 118.567 6.16585
0.00488281 9.2909 9.84221	0 142.525 6.715
0.00512695 12.0166 10.3228	0 88.8397 7.24896
0.00537109 9.99075 10.7908	0 98.2189 7.78692
0.00561523 10.374 11.242	0 140.189 8.34234
0.00585938 12.489 11.6712	0 141.026 8.91655
0.00610352 9.85353 12.0727	0 68.4697 9.49973
0.00634766 16.0942 12.4401	0 218.613 10.0798
0.0065918 12.9462 12.7676	0 208.972 10.6537
0.00683594 15.1036 13.0497	0 227.406 11.2327
0.00708008 13.9572 13.2824	0 174.441 11.8333
0.00732422 11.8082 13.4632	0 139.908 12.4592
0.00756836 15.3473 13.592	0 264.475 13.0836
0.0078125 14.3241 13.6709	0 323.802 13.6472
0.00805664 15.3964 13.704	0 251.257 14.0771
0.00830078 15.8333 13.6974	0 289.875 14.318
0.00854492 11.6562 13.658	0 136.862 14.3579
0.00878906 14.769 13.5936	0 206.787 14.2344
0.0090332 12.948 13.5116	0 179.159 14.0188
0.00927734 12.1729 13.4188	0 145.108 13.7892
0.00952148 11.4726 13.3208	0 99.482 13.606
0.00976562 15.9107 13.2221	0 229.891 13.5005
0.0100098 13.6053 13.1261	0 186.97 13.4758
0.0102539 13.2353 13.0352	0 179.181 13.5141
0.010498 12.2269 12.9511	0 123.356 13.5842
0.0107422 12.7338 12.8749	0 235.927 13.6482
0.0109863 10.7169 12.8073	0 127.447 13.6686
0.0112305 13.9729 12.7483	0 183.572 13.6168
0.0114746 12.2046 12.6973	0 169.058 13.4808
0.0117188 13.1747 12.6532	0 141.179 13.268
0.0119629 12.9667 12.6144	0 112.259 12.9981
0.012207 12.3799 12.5789	0 143.189 12.6915
0.0124512 11.6323 12.5449	0 112.444 12.3577
0.0126953 11.7047 12.5107	0 157.079 11.993
0.0129395 14.1456 12.4751	0 211.936 11.5902
0.0131836 13.003 12.4381	0 189.679 11.1534
0.0134277 12.5716 12.4002	0 155.573 10.7094
0.0136719 13.2497 12.363	0 143.806 10.3058
0.013916 9.42 12.329	0 67.6428 9.99589
0.0141602 12.0772 12.301	0 141.32 9.8162
0.0144043 13.9669 12.282	0 216.393 9.76941
0.0146484 13.046 12.2749	0 193.809 9.82039
0.0148926 10.857 12.2815	0 130.732 9.90762
0.0151367 11.4518 12.3026	0 121.706 9.96475
0.0153809 12.0005 12.3378	0 202.938 9.9433
0.015625 11.4727 12.3849	0 185.227 9.82747
0.0158691 11.8976 12.4408	0 112.543 9.63589
0.0161133 14.9073 12.5019	0 253.813 9.41082
0.0163574 10.9808 12.5644	0 151.72 9.20005
0.0166016 12.5578 12.6255	0 118.87 9.03949
0.0168457 14.2408 12.6835	0 207.477 8.94313
0.0170898 13.4386 12.7385	0 145.722 8.90308
0.017334 13.6412 12.7918	0 228.029 8.89783
0.0175781 12.2578 12.8455	0 119.87 8.90433
0.0178223 11.6049 12.902	0 95.458 8.90928
0.0180664 11.4733 12.9627	0 124.981 8.91697
0.0183105 13.17 13.0282	0 201.714 8.95203
0.0185547 12.2778 13.0974	0 143.423 9.0561
0.0187988 13.32 13.1684	0 153.206 9.27815
0.019043 15.2226 13.2389	0 220.92 9.65923
0.0192871 13.8581 13.3067	0 158.699 10.2155
0.0195312 14.3607 13.3705	0 171.152 10.9255
0.0197754 13.1251 13.4303	0 140.78 11.7266
0.0200195 11.7828 13.487	0 250.045 12.5258
0.0202637 12.8018 13.5421	0 130.992 13.2192
0.0205078 14.3789 13.5975	0 301.24 13.7172
0.020752 14.6127 13.6543	0 272.364 13.9649
0.0209961 14.0602 13.7129	0 187.534 13.9516
0.0212402 12.5806 13.7723	0 174.831 13.7101
0.0214844 11.546 13.831	0 120.001 13.3066
0.0217285 15.9405 13.8864	0 254.11 12.826
0.0219727 13.5297 13.9364	0 241.978 12.3577
0.0222168 15.0799 13.9792	0 240.031 11.9798
0.0224609 14.1883 14.0144	0 221.862 11.7456
0.0227051 17.0939 14.043	0 220.952 11.6714
0.0229492 12.3669 14.0672	0 171.741 11.7328
0.0231934 13.319 14.0904	0 173.702 11.8732
0.0234375 11.4177 14.117	0 110.481 12.0248
0.0236816 14.9524 14.1512	0 200.955 12.1363
0.0239258 15.4629 14.1973	0 205.908 12.1947
0.0241699 14.9358 14.2593	0 248.669 12.2324
0.0244141 14.1253 14.3404	0 173.938 12.3159
0.0246582 12.871 14.4432	0 139.547 12.5216
