0 0 1.76317	0 0 0.36502
0.000244141 2.90018 2.11186	0 7.45637 0.481427
0.000488281 3.26839 2.47512	0 9.57209 0.606238
0.000732422 4.16859 2.84535	0 18.7216 0.734193
0.000976562 4.1018 3.21659	0 13.2352 0.862634
0.0012207 3.68048 3.58523	0 12.6204 0.992907
0.00146484 3.68725 3.95024	0 19.1181 1.13031
0.00170898 4.04564 4.3129	0 20.7611 1.28261
0.00195312 4.62647 4.67614	0 21.6496 1.45776
0.00219727 4.70279 5.04374	0 16.0356 1.66221
0.00244141 4.64541 5.41948	0 20.6859 1.90042
0.00268555 5.97367 5.80666	0 53.1112 2.17566
0.00292969 5.48685 6.20771	0 27.8988 2.49126
0.00317383 6.42236 6.62429	0 32.8058 2.85121
0.00341797 7.54835 7.05744	0 71.2816 3.26015
0.00366211 7.19175 7.50784	0 42.2037 3.72363
0.00390625 8.00522 7.976	0 65.5868 4.24989
0.00415039 8.25629 8.46234	0 65.4086 4.85267
0.00439453 8.67868 8.96697	0 71.2436 5.55324
0.00463867 9.15903 9.4895	0 99.635 6.37843
0.00488281 9.48196 10.0286	0 81.1973 7.35351
0.00512695 9.43507 10.582	0 92.2363 8.49161
0.00537109 10.4964 11.1461	0 115.712 9.7845
0.00561523 12.9638 11.7159	0 177.603 11.1998
0.00585938 13.0242 12.2858	0 142.261 12.6865
0.00610352 11.1562 12.8493	0 112.866 14.1876
0.00634766 16.1922 13.3998	0 292.365 15.6532
0.0065918 13.9694 13.9309	0 275.136 17.0484
0.00683594 13.0241 14.437	0 157.872 18.3544
0.00708008 13.9086 14.9136	0 165.118 19.5606
0.00732422 18.6765 15.3576	0 346.294 20.6558
0.00756836 16.155 15.7678	0 269.586 21.6211
0.0078125 18.1176 16.1443	0 320.242 22.4296
0.00805664 15.5558 16.4886	0 298.774 23.0518
0.00830078 19.5659 16.8025	0 344.127 23.4653
0.00854492 14.7811 17.0876	0 216.631 23.6646
0.00878906 15.1425 17.3442	0 293.45 23.6672
0.0090332 18.7681 17.5709	0 502.603 23.512
0.00927734 18.4881 17.7645	0 300.238 23.2483
0.00952148 18.6026 17.9204	0 378.314 22.917
0.00976562 18.3214 18.0333	0 337.406 22.5312
0.0100098 20.9601 18.0987	0 373.975 22.0659
0.0102539 18.7438 18.1138	0 312.639 21.4664
0.010498 18.5833 18.0786	0 403.064 20.6746
0.0107422 18.2099 17.9966	0 232.991 19.6666
0.0109863 18.9705 17.8749	0 428.952 18.4821
0.0112305 18.9822 17.723	0 265.072 17.2295
0.0114746 17.9621 17.553	0 209.059 16.0628
0.0117188 17.4835 17.3773	0 299.658 15.1371
0.0119629 14.2391 17.2081	0 137.03 14.5629
0.012207 15.2529 17.0562	0 277.834 14.3779
0.0124512 17.4513 16.9298	0 246.078 14.5447
