0 0 0.838339	0 0 0.0833677
0.000244141 1.44318 1.00802	0 1.80516 0.111503
0.000488281 1.57654 1.18695	0 1.72985 0.141331
0.000732422 1.57673 1.37217	0 2.71544 0.170327
0.000976562 2.0351 1.56164	0 3.22262 0.196227
0.0012207 1.84622 1.7546	0 5.68436 0.217991
0.00146484 1.74544 1.95182	0 2.66737 0.236642
0.00170898 2.14213 2.15554	0 5.22453 0.255579
0.00195312 2.25659 2.36929	0 3.51356 0.280134
0.00219727 2.18196 2.59756	0 4.96806 0.316432
0.00244141 2.16996 2.84543	0 4.24253 0.370003
0.00268555 2.75437 3.11831	0 6.88841 0.444906
0.00292969 3.47919 3.4216	0 11.6662 0.544047
0.00317383 3.00433 3.76051	0 9.92706 0.67105
0.00341797 3.63497 4.13982	0 10.2969 0.833269
0.00366211 4.08771 4.56364	0 19.4284 1.04486
0.00390625 4.33099 5.03511	0 13.4924 1.32833
0.00415039 4.48399 5.55612	0 18.0789 1.71327
0.00439453 4.79695 6.1269	0 19.8757 2.23168
0.00463867 6.1133 6.74577	0 28.5566 2.91075
0.00488281 7.2167 7.40884	0 47.6977 3.76504
0.00512695 7.79234 8.10983	0 79.0009 4.79082
0.00537109 7.9157 8.84006	0 72.9592 5.96505
0.00561523 9.01988 9.58847	0 82.7973 7.25
0.00585938 10.0924 10.3418	0 114.903 8.60195
0.00610352 12.3188 11.0851	0 166.679 9.97996
0.00634766 12.4421 11.8019	0 186.97 11.3499
0.0065918 13.3078 12.4753	0 205.039 12.6812
0.00683594 12.3386 13.0888	0 164.646 13.9391
0.00708008 14.5655 13.6269	0 164.953 15.0788
0.00732422 17.3568 14.077	0 296.735 16.049
0.00756836 17.3508 14.4295	0 297.977 16.8045
0.0078125 16.1309 14.6789	0 256.409 17.3221
0.00805664 16.6781 14.8244	0 266.579 17.6084
0.00830078 15.6724 14.869	0 203.484 17.6925
0.00854492 16.4357 14.82	0 240.802 17.6078
0.00878906 14.5406 14.6874	0 181.889 17.3746
0.0090332 14.9348 14.4837	0 213.227 16.9939
0.00927734 15.2303 14.2227	0 238.572 16.4572
0.00952148 14.511 13.9187	0 284.236 15.7637
0.00976562 14.8851 13.5866	0 187.261 14.9329
0.0100098 10.914 13.2406	0 100.732 14.0054
0.0102539 13.8278 12.8947	0 190.442 13.0307
0.010498 12.1657 12.5619	0 95.0396 12.0531
0.0107422 12.0893 12.2539	0 194.028 11.1017
0.0109863 11.024 11.981	0 113.195 10.1905
0.0112305 10.1753 11.7513	0 95.6047 9.32743
0.0114746 10.4929 11.5704	0 146.626 8.5262
0.0117188 11.7451 11.4411	0 116.98 7.814
0.0119629 9.13211 11.3629	0 104.46 7.2316
0.012207 11.1344 11.3326	0 123.317 6.8244
0.0124512 11.4878 11.344	0 106.417 6.62854
0.0126953 9.45624 11.3887	0 68.8845 6.65744
0.0129395 11.8902 11.457	0 183.41 6.89416
0.0131836 10.0886 11.5386	0 111.607 7.29172
0.0134277 14.5444 11.624	0 181.814 7.78075
0.0136719 11.9245 11.7053	0 121.417 8.28184
0.013916 11.8286 11.7765	0 148.842 8.71977
0.0141602 13.568 11.8345	0 220.956 9.03686
0.0144043 10.6578 11.8786	0 157.961 9.20272
0.0146484 11.8627 11.9102	0 140.09 9.21795
0.0148926 13.2406 11.932	0 163.08 9.11056
0.0151367 9.67968 11.9474	0 89.288 8.92631
0.0153809 13.3831 11.9594	0 147.139 8.71604
0.015625 11.8147 11.9702	0 112.636 8.52377
0.0158691 11.6677 11.9808	0 121.559 8.37787
0.0161133 11.9975 11.9904	0 128.209 8.28687
0.0163574 10.7079 11.9972	0 110.098 8.23999
0.0166016 12.2805 11.9987	0 111.48 8.21259
0.0168457 12.7764 11.9923	0 157.361 8.17539
0.0170898 12.7819 11.9766	0 165.252 8.10493
0.017334 12.8682 11.9515	0 192.101 7.99197
0.0175781 11.4903 11.9195	0 131.752 7.84485
0.0178223 12.1065 11.8854	0 161.277 7.68715
0.0180664 12.4318 11.856	0 136.823 7.55117
0.0183105 12.4779 11.8393	0 172.339 7.47018
0.0185547 11.4021 11.8429	0 123.293 7.47179
0.0187988 9.23049 11.8728	0 86.5071 7.57344
0.019043 10.3364 11.9324	0 99.092 7.77981
0.0192871 10.7924 12.021	0 113.003 8.08171
0.0195312 11.2297 12.1342	0 149.948 8.45638
0.0197754 12.8944 12.2643	0 157.076 8.87016
0.0200195 13.7624 12.4015	0 243.219 9.28368
0.0202637 12.4562 12.5351	0 180.731 9.65898
0.0205078 14.5358 12.6553	0 205.519 9.96658
0.020752 12.1019 12.7542	0 137.466 10.1905
0.0209961 14.9852 12.8269	0 219.178 10.3302
0.0212402 11.379 12.8709	0 108.672 10.3996
0.0214844 15.288 12.8868	0 323.984 10.4232
0.0217285 13.1257 12.8772	0 225.473 10.4292
0.0219727 11.3747 12.8463	0 84.7003 10.4398
0.0222168 10.7697 12.7992	0 95.8985 10.4629
0.0224609 15.0316 12.742	0 250.907 10.4892
0.0227051 14.4261 12.6813	0 240.857 10.4986
0.0229492 12.016 12.624	0 153.835 10.4732
0.0231934 12.2689 12.5773	0 187.892 10.4114
0.0234375 12.4357 12.5481	0 165.511 10.3316
0.0236816 11.1106 12.5425	0 90.0568 10.266
0.0239258 11.594 12.5651	0 169.974 10.2446
0.0241699 11.4648 12.6184	0 123.116 10.2814
0.0244141 12.424 12.7027	0 162.464 10.3674
0.0246582 12.936 12.8155	0 224.047 10.475
0.0249023 12.8161 12.9523	0 218.419 10.5687
0.0251465 12.0692 13.1067	0 138.86 10.6176
0.0253906 12.2586 13.2719	0 112.604 10.6052
0.0256348 15.2381 13.4409	0 238.058 10.5352
0.0258789 15.0957 13.6073	0 245.284 10.433
0.026123 13.8138 13.766	0 146.948 10.3439
0.0263672 14.0419 13.9127	0 200.923 10.3242
0.0266113 13.9011 14.0444	0 151.537 10.4272
0.0268555 13.3575 14.159	0 163.746 10.684
0.0270996 14.192 14.2551	0 153.864 11.0877
0.0273438 13.5142 14.3326	0 156.433 11.5893
0.0275879 16.9969 14.3926	0 402.474 12.1099
0.027832 15.0125 14.4382	0 191.262 12.566
0.0280762 14.9071 14.4747	0 260.618 12.8984
0.0283203 14.959 14.5091	0 198.673 13.0918
0.0285645 15.2548 14.5502	0 240.188 13.1795
0.0288086 13.7893 14.6068	0 265.798 13.2313
0.0290527 14.1225 14.6868	0 221.796 13.3311
0.0292969 10.1988 14.7956	0 116.521 13.552
0.029541 13.5852 14.9355	0 165.493 13.9357
0.0297852 15.7843 15.105	0 203.325 14.4829
0.0300293 16.2276 15.2994	0 216.481 15.1538
0.0302734 17.1098 15.512	0 288.532 15.8774
0.0305176 14.3813 15.735	0 245.143 16.5648
0.0307617 14.2131 15.9613	0 198.775 17.1248
0.0310059 19.3141 16.1854	0 367.616 17.4823
0.03125 18.6241 16.4041	0 393.761 17.598
0.0314941 14.869 16.6166	0 179.858 17.4857
0.0317383 16.0434 16.8243	0 219.096 17.2173
0.0319824 16.5661 17.03	0 252.893 16.9098
0.0322266 16.4471 17.2375	0 256.695 16.6938
0.0324707 19.3447 17.4505	0 330.313 16.6752
0.0327148 17.2591 17.6722	0 347.38 16.9061
0.032959 16.7699 17.9051	0 232.142 17.3777
0.0332031 16.6766 18.1501	0 273.437 18.0372
0.0334473 22.0287 18.4067	0 395.593 18.8192
0.0336914 17.4132 18.6722	0 315.104 19.6715
0.0339355 16.0803 18.9427	0 286.888 20.5634
0.0341797 17.5445 19.2124	0 254.851 21.4724
0.0344238 22.7572 19.4751	0 361.667 22.3615
0.034668 19.3599 19.7245	0 442.998 23.1643
0.0349121 21.6898 19.9557	0 472.081 23.7895
0.0351562 19.8512 20.1659	0 349.061 24.1462
0.0354004 22.355 20.3553	0 511.549 24.1794
0.0356445 21.6606 20.5272	0 399.561 23.8966
0.0358887 20.6107 20.688	0 447.485 23.3771
0.0361328 19.3503 20.846	0 274.048 22.759
0.036377 18.2816 21.0107	0 279.224 22.2117
0.0366211 22.5753 21.1913	0 435.764 21.9063
0.0368652 22.8709 21.3955	0 552.03 21.9912
0.0371094 20.4202 21.6289	0 399.497 22.5741
0.0373535 19.8268 21.8937	0 391.382 23.7059
0.0375977 19.2413 22.1896	0 348.583 25.3642
0.0378418 24.4372 22.5134	0 687.603 27.4449
0.0380859 23.9873 22.8607	0 553.735 29.7713
0.0383301 20.1705 23.2267	0 403.529 32.1319
0.0385742 24.5379 23.6079	0 709.115 34.3396
0.0388184 25.4176 24.0032	0 860.958 36.2965
0.0390625 25.8888 24.4147	0 545.462 38.0374
0.0393066 25.0854 24.8473	0 590.993 39.733
0.0395508 24.3825 25.3084	0 680.537 41.6472
0.0397949 28.1788 25.8055	0 702.986 44.0571
0.0400391 20.8068 26.3448	0 509.182 47.1579
0.0402832 23.5966 26.9294	0 560.269 50.9856
0.0405273 24.1062 27.5584	0 741.758 55.3841
0.0407715 30.7996 28.2268	0 993.24 60.0392
0.0410156 29.3633 28.9271	0 646.04 64.5748
0.0412598 30.6154 29.6511	0 1125.16 68.6803
0.0415039 30.8707 30.3922	0 817.785 72.2207
0.041748 33.1567 31.1472	0 1037.04 75.2844
0.0419922 33.6054 31.9175	0 1222.89 78.1499
0.0422363 30.3085 32.7091	0 578.101 81.186
0.0424805 33.8619 33.5308	0 1015.44 84.7302
0.0427246 31.1212 34.3932	0 845.521 88.994
0.0429688 34.0511 35.3055	0 1036.77 94.0265
0.0432129 34.9719 36.2747	0 1245.73 99.7451
0.043457 35.7694 37.304	0 1327.96 106.012
0.0437012 38.6201 38.3931	0 1544.26 112.727
0.0439453 38.5013 39.539	0 1128.37 119.891
0.0441895 36.8902 40.7378	0 2180.76 127.635
0.0444336 44.4594 41.9868	0 3323.81 136.174
0.0446777 45.8148 43.2855	0 2296.83 145.724
0.0449219 48.1282 44.6373	0 2019.66 156.371
0.045166 46.0196 46.0492	0 1907.1 167.959
0.0454102 37.8563 47.532	0 1561.24 180.022
0.0456543 47.8558 49.0994	0 1878.84 191.84
0.0458984 46.1113 50.767	0 2388.89 202.611
0.0461426 56.1104 52.5508	0 2712.67 211.741
0.0463867 60.0655 54.4666	0 3187.63 219.127
0.0466309 46.2561 56.5273	0 2001.14 225.314
0.046875 63.7945 58.7409	0 5027.25 231.398
0.0471191 54.6971 61.1081	0 2729.24 238.673
0.0473633 58.8435 63.6202	0 2973.07 248.165
0.0476074 54.4323 66.2574	0 1800.86 260.251
0.0478516 69.3406 68.9897	0 6158.95 274.583
0.0480957 78.5908 71.7786	0 6502.31 290.336
0.0483398 71.2903 74.5817	0 3938.01 306.668
0.048584 79.2986 77.3575	0 6063.49 323.154
0.0488281 88.8961 80.0707	0 9291.61 340.022
0.0490723 93.8114 82.6963	0 9578.34 358.082
0.0493164 77.1969 85.222	0 6720.17 378.382
0.0495605 82.0754 87.6477	0 7778.8 401.718
0.0498047 98.9203 89.9825	0 6722.63 428.119
0.0500488 98.8676 92.2398	0 6737.55 456.518
0.050293 92.0891 94.4318	0 6615.8 484.775
0.0505371 95.4602 96.5632	0 9121.67 510.152
0.0507812 80.1176 98.6269	0 6677.01 530.178
0.0510254 110.098 100.601	0 11856.8 543.631
0.0512695 105.881 102.449	0 11587.6 551.174
0.0515137 98.1222 104.123	0 9936.8 555.252
0.0517578 122.777 105.566	0 12511.9 559.178
0.052002 113.899 106.719	0 7915.18 565.748
0.0522461 112.562 107.526	0 11725.5 576.033
0.0524902 104.734 107.942	0 13789 588.919
0.0527344 119.699 107.936	0 14256.9 601.586
0.0529785 105.632 107.495	0 13278.4 610.603
0.0532227 121.381 106.625	0 11454.2 613.098
0.0534668 126.17 105.352	0 15125.1 607.504
0.0537109 102.442 103.718	0 12729.3 593.727
0.0539551 113.509 101.771	0 14731 572.865
0.0541992 80.8409 99.5664	0 6189.42 546.717
0.0544434 99.9624 97.1528	0 13540.8 517.269
0.0546875 86.0623 94.573	0 6627.66 486.239
0.0549316 92.5396 91.8597	0 10715 454.772
0.0551758 93.6216 89.0384	0 7901.98 423.342
0.0554199 100.661 86.13	0 11143.4 391.938
0.0556641 83.2988 83.1564	0 6791.94 360.447
0.0559082 82.4357 80.1433	0 5245.62 329.087
0.0561523 77.3741 77.1215	0 6041.05 298.641
0.0563965 76.6253 74.1251	0 5163.27 270.376
0.0566406 55.5116 71.1874	0 3620.67 245.672
0.0568848 66.1822 68.3357	0 5389.04 225.524
0.0571289 65.1264 65.587	0 3111.56 210.146
