0 0 2.62628	0 0 0.561891
0.000244141 5.00672 3.147	0 22.989 0.764594
0.000488281 4.26731 3.68652	0 15.1975 1.00811
0.000732422 4.72014 4.23048	0 22.2903 1.29342
0.000976562 6.14361 4.76629	0 42.8158 1.62
0.0012207 6.65088 5.28461	0 38.8711 1.98516
0.00146484 6.13373 5.78026	0 41.9083 2.38368
0.00170898 6.92608 6.25237	0 42.513 2.80861
0.00195312 6.56083 6.7038	0 55.894 3.25343
0.00219727 6.63975 7.14003	0 30.4148 3.71489
0.00244141 8.6605 7.56767	0 81.0304 4.19485
0.00268555 7.20718 7.99292	0 58.7506 4.69964
0.00292969 7.04065 8.42031	0 49.4112 5.2362
0.00317383 8.27153 8.85179	0 55.1371 5.80684
0.00341797 8.77889 9.2864	0 94.6901 6.40551
0.00366211 10.0527 9.72056	0 113.835 7.01852
0.00390625 10.9824 10.1487	0 143.778 7.62986
0.00415039 10.6986 10.5642	0 160.656 8.22846
0.00439453 10.6836 10.9606	0 79.6067 8.81328
0.00463867 13.1748 11.3325	0 162.723 9.39331
0.00488281 13.1712 11.676	0 173.118 9.98235
0.00512695 11.4274 11.9886	0 101.695 10.5914
0.00537109 13.8246 12.2697	0 141.263 11.2216
0.00561523 12.1435 12.5191	0 155.155 11.8597
0.00585938 10.6168 12.7369	0 156.941 12.4764
0.00610352 15.1444 12.9228	0 179.326 13.0286
0.00634766 12.565 13.0759	0 119.537 13.4651
0.0065918 14.802 13.1944	0 258.318 13.7364
0.00683594 12.4411 13.277	0 196.762 13.8063
0.00708008 13.9346 13.3228	0 198.333 13.6624
0.00732422 13.4011 13.3325	0 114.834 13.3223
0.00756836 17.669 13.3088	0 306.688 12.8314
0.0078125 14.3309 13.2566	0 163.845 12.2536
0.00805664 11.4797 13.1825	0 143.781 11.6569
0.00830078 12.8221 13.0942	0 180.959 11.0987
0.00854492 10.5643 12.9991	0 138.563 10.6169
0.00878906 12.6698 12.9036	0 197.204 10.2304
0.0090332 13.7176 12.8124	0 211.608 9.94745
