0 0 1.79607	0 0 0.402809
0.000244141 3.48162 2.14399	0 12.7527 0.510362
0.000488281 3.52789 2.50503	0 11.5674 0.619539
0.000732422 4.07288 2.87171	0 15.2134 0.727154
0.000976562 3.19246 3.23832	0 9.51657 0.833169
0.0012207 3.9406 3.60175	0 14.9896 0.940194
0.00146484 4.30765 3.9618	0 13.1307 1.05196
0.00170898 3.40248 4.32105	0 12.4376 1.17196
0.00195312 4.74466 4.68432	0 16.1108 1.30363
0.00219727 5.33011 5.05778	0 29.2983 1.45239
0.00244141 4.90284 5.44793	0 22.591 1.62849
0.00268555 5.44086 5.86045	0 30.9529 1.84863
0.00292969 6.28436 6.29917	0 36.6331 2.13397
0.00317383 5.12935 6.76532	0 22.4245 2.504
0.00341797 6.52943 7.25698	0 54.8815 2.96753
0.00366211 6.48258 7.76907	0 35.8983 3.5146
0.00390625 7.88262 8.29382	0 50.2864 4.11357
0.00415039 9.36212 8.82164	0 76.0388 4.71662
0.00439453 10.9149 9.34233	0 100.277 5.27379
0.00463867 9.21587 9.84638	0 106.622 5.75181
0.00488281 12.6517 10.326	0 169.093 6.15105
0.00512695 12.083 10.7761	0 153.112 6.51363
0.00537109 12.2217 11.1939	0 174.409 6.91819
0.00561523 10.8134 11.5792	0 74.7018 7.46139
0.00585938 11.4747 11.9333	0 117.26 8.23112
0.00610352 11.8367 12.2582	0 102.907 9.27985
0.00634766 13.4145 12.5555	0 209.363 10.606
0.0065918 12.9488 12.8261	0 260.327 12.1488
0.00683594 12.3636 13.0697	0 124.271 13.7959
0.00708008 16.1634 13.2848	0 257.088 15.4015
0.00732422 13.0065 13.4693	0 201.005 16.8088
0.00756836 13.9339 13.6209	0 238.424 17.8744
0.0078125 12.917 13.7374	0 179.558 18.4917
0.00805664 14.6845 13.8176	0 164.191 18.6136
0.00830078 15.3928 13.8611	0 322.027 18.2672
0.00854492 16.4972 13.869	0 338.542 17.5559
0.00878906 13.3971 13.8433	0 155.37 16.6414
0.0090332 12.2135 13.7875	0 109.209 15.7084
0.00927734 13.509 13.7058	0 166.583 14.9202
0.00952148 14.4676 13.6036	0 174.191 14.382
0.00976562 13.1885 13.4868	0 125.024 14.124
0.0100098 15.5327 13.3621	0 322.215 14.108
0.0102539 13.6042 13.2364	0 157.283 14.2539
0.010498 11.9907 13.1165	0 146.429 14.4702
0.0107422 13.1584 13.0085	0 140.024 14.6785
0.0109863 10.1252 12.9173	0 113.717 14.8239
0.0112305 12.6105 12.8459	0 169.46 14.8727
0.0114746 12.8571 12.7955	0 167.605 14.8061
0.0117188 12.6443 12.7653	0 195.375 14.6163
0.0119629 12.2303 12.7528	0 188.628 14.3103
0.012207 11.988 12.7547	0 158.504 13.9159
0.0124512 14.9962 12.7673	0 171.842 13.4841
0.0126953 13.2317 12.787	0 173.192 13.0812
0.0129395 11.8352 12.8108	0 98.955 12.7711
0.0131836 12.4125 12.8361	0 145.231 12.5957
0.0134277 12.8024 12.8609	0 170.325 12.5599
0.0136719 12.8225 12.8836	0 150.867 12.6281
0.013916 12.2721 12.903	0 134.769 12.7337
0.0141602 12.5812 12.9187	0 150.396 12.7967
0.0144043 14.3306 12.9308	0 221.144 12.7459
0.0146484 15.3631 12.9408	0 246.215 12.5377
0.0148926 11.7254 12.9512	0 106.313 12.1676
0.0151367 11.7874 12.9655	0 123.728 11.6691
0.0153809 13.7591 12.9878	0 167.165 11.1021
0.015625 11.8098 13.0224	0 133.865 10.5353
0.0158691 12.6763 13.0724	0 198.92 10.0313
0.0161133 12.1966 13.1395	0 159.522 9.63847
0.0163574 14.086 13.2232	0 179.683 9.39088
0.0166016 12.7928 13.3208	0 189.699 9.31015
0.0168457 13.3391 13.4276	0 143.062 9.4044
0.0170898 11.4699 13.5373	0 144.225 9.66323
0.017334 12.7389 13.6432	0 108.126 10.053
0.0175781 16.9098 13.7393	0 368.878 10.518
0.0178223 15.7132 13.8212	0 235.556 10.9912
0.0180664 15.1906 13.8865	0 312.312 11.4104
0.0183105 14.1664 13.9354	0 203.794 11.7349
0.0185547 12.0961 13.9702	0 134.647 11.9572
0.0187988 13.1085 13.9949	0 171.932 12.1039
0.019043 14.255 14.0142	0 194.149 12.2282
0.0192871 13.9256 14.0329	0 219.07 12.397
0.0195312 15.1841 14.0555	0 194.321 12.6744
0.0197754 13.1819 14.0853	0 187.64 13.1085
0.0200195 13.3291 14.1251	0 135.912 13.7236
0.0202637 16.3301 14.1764	0 305.208 14.5184
0.0205078 11.1244 14.2401	0 101.022 15.4708
0.020752 15.6459 14.3161	0 244.516 16.5438
0.0209961 14.745 14.4035	0 224.119 17.6914
0.0212402 12.516 14.5008	0 176.421 18.8618
0.0214844 15.3286 14.6056	0 267.836 20.0003
0.0217285 14.4322 14.7149	0 253.915 21.0529
0.0219727 14.1493 14.8259	0 192.182 21.9705
0.0222168 17.8336 14.9356	0 256.576 22.7121
0.0224609 12.8425 15.0418	0 164.569 23.248
0.0227051 16.3026 15.1436	0 279.078 23.5625
0.0229492 15.3511 15.2409	0 284.154 23.6615
0.0231934 14.3362 15.3353	0 181.942 23.5809
0.0234375 17.4216 15.429	0 444.386 23.3918
0.0236816 15.3216 15.5248	0 174.779 23.1931
0.0239258 15.5813 15.6256	0 263.338 23.0889
0.0241699 13.4698 15.7332	0 175.565 23.1553
0.0244141 15.5978 15.8484	0 171.002 23.4113
0.0246582 15.1716 15.9707	0 199.082 23.8048
0.0249023 17.9484 16.0985	0 411.752 24.2201
0.0251465 16.5309 16.2296	0 246.616 24.503
0.0253906 14.4814 16.3623	0 307.787 24.4951
0.0256348 16.6798 16.4956	0 290.251 24.0698
0.0258789 18.0033 16.6305	0 305.807 23.1662
0.026123 19.8965 16.7693	0 503.368 21.815
0.0263672 16.8304 16.9159	0 307.078 20.1489
0.0266113 13.8794 17.0751	0 181.843 18.3885
0.0268555 15.6044 17.2509	0 206.363 16.8006
0.0270996 15.7405 17.4464	0 198.423 15.6393
0.0273438 17.6948 17.6628	0 231.33 15.0894
0.0275879 19.5928 17.8985	0 508.862 15.2341
0.027832 19.763 18.1502	0 263.113 16.0557
0.0280762 16.9151 18.4122	0 335.169 17.4617
0.0283203 17.0357 18.6781	0 255.259 19.3156
0.0285645 18.2303 18.9407	0 455.595 21.4541
0.0288086 19.9243 19.1936	0 374.354 23.687
0.0290527 21.1911 19.4316	0 423.099 25.7929
0.0292969 22.6705 19.6515	0 558.126 27.5304
0.029541 20.537 19.8524	0 534.995 28.6785
0.0297852 15.8672 20.0363	0 326.269 29.0992
0.0300293 19.9265 20.208	0 267.857 28.798
0.0302734 24.7734 20.3752	0 588.639 27.954
0.0305176 18.1731 20.5477	0 430.971 26.9029
0.0307617 21.5533 20.7374	0 454.211 26.0757
0.0310059 21.8483 20.9571	0 306.179 25.9092
0.03125 17.3611 21.2193	0 180.392 26.7496
0.0314941 22.6887 21.5348	0 575.626 28.7679
0.0317383 19.509 21.9114	0 384.486 31.9022
0.0319824 20.656 22.3527	0 466.488 35.8438
0.0322266 21.0981 22.8579	0 410.817 40.0817
0.0324707 21.33 23.421	0 423.74 44.0107
0.0327148 24.7122 24.0328	0 620.384 47.0814
0.032959 22.6217 24.6824	0 463.452 48.9495
0.0332031 27.867 25.3589	0 1300.63 49.5725
0.0334473 24.987 26.0544	0 536.939 49.2185
0.0336914 30.9109 26.7651	0 652.864 48.3914
0.0339355 29.4377 27.4918	0 919.83 47.7037
0.0341797 25.6918 28.2399	0 534.327 47.7419
0.0344238 29.5774 29.0172	0 881.555 48.9566
0.034668 25.7546 29.8318	0 584.385 51.5875
0.0349121 30.9377 30.6895	0 934.67 55.6262
0.0351562 26.6319 31.5926	0 535.831 60.8168
0.0354004 28.9425 32.5385	0 602.865 66.6986
0.0356445 35.9937 33.5207	0 1241.23 72.692
0.0358887 39.758 34.5305	0 1182.32 78.2127
0.0361328 35.9357 35.5593	0 1285.46 82.7912
0.036377 32.9812 36.6011	0 980.856 86.1715
0.0366211 40.2255 37.6546	0 1711.48 88.3704
0.0368652 35.9318 38.7235	0 1529.79 89.692
0.0371094 46.2019 39.8169	0 2708.15 90.6989
0.0373535 40.5528 40.9478	0 1924.3 92.1433
0.0375977 34.6881 42.1309	0 1333.5 94.8657
0.0378418 41.9714 43.3804	0 1956.83 99.6687
0.0380859 47.7244 44.7087	0 2137.09 107.176
0.0383301 37.803 46.1245	0 1384.85 117.701
0.0385742 48.3103 47.6337	0 2028.31 131.151
0.0388184 51.1417 49.2397	0 2321.69 147.007
0.0390625 43.9499 50.946	0 2320.23 164.408
0.0393066 55.4698 52.7578	0 2666.09 182.33
0.0395508 63.2838 54.6845	0 4123.53 199.845
0.0397949 51.7463 56.7412	0 2014.72 216.387
0.0400391 48.5703 58.9491	0 2723.96 231.952
0.0402832 57.5458 61.3353	0 3149.15 247.187
0.0405273 66.381 63.9309	0 3025.11 263.349
0.0407715 66.0349 66.7686	0 4732.28 282.127
0.0410156 76.5464 69.8792	0 6045.37 305.393
0.0412598 57.9153 73.2888	0 3734.19 334.898
0.0415039 58.3322 77.0156	0 5353.62 371.95
0.041748 80.214 81.0689	0 5290.88 417.088
0.0419922 81.6226 85.4495	0 6825.05 469.875
0.0422363 88.6816 90.1519	0 6633.13 528.912
0.0424805 102.665 95.1684	0 11980.9 592.245
0.0427246 89.1325 100.494	0 7756.9 658.145
0.0429688 102.373 106.13	0 12477.5 726.072
0.0432129 112.87 112.089	0 14805.5 797.442
0.043457 105.455 118.394	0 9753.69 875.819
0.0437012 130.568 125.074	0 13621.2 966.378
0.0439453 129.116 132.159	0 21908 1074.78
0.0441895 135.785 139.666	0 18639.4 1205.73
0.0444336 147.853 147.59	0 25252.5 1361.55
0.0446777 135.696 155.891	0 24108.7 1540.9
0.0449219 124.696 164.488	0 16575.2 1737.97
0.045166 172 173.255	0 29375.4 1942.66
0.0454102 168.654 182.032	0 24838.7 2142.25
0.0456543 236.782 190.632	0 49756 2324.48
0.0458984 214.195 198.858	0 39787.9 2481.04
0.0461426 228.796 206.524	0 42779.3 2609.61
0.0463867 218.541 213.464	0 39571.2 2713.34
0.0466309 228.522 219.545	0 41095.8 2797.91
0.046875 211.63 224.672	0 30891.2 2868.18
0.0471191 277.091 228.786	0 69924.3 2926.59
0.0473633 235.946 231.854	0 51713.2 2974.17
0.0476074 253.691 233.868	0 70173.6 3012.91
0.0478516 253.031 234.831	0 74694.5 3047.41
0.0480957 265.616 234.749	0 54757.6 3083.96
0.0483398 201.13 233.625	0 36032.7 3127.28
0.048584 241.274 231.457	0 51292.1 3176.66
0.0488281 235.836 228.244	0 54679.7 3223.65
0.0490723 257.659 223.987	0 60239.9 3252.82
0.0493164 232.286 218.705	0 48756.3 3245.35
0.0495605 252.834 212.444	0 48574.9 3184.08
0.0498047 216.133 205.281	0 47392 3058.37
0.0500488 197.792 197.334	0 45043.5 2867.11
0.050293 207.889 188.752	0 52590.6 2619.1
0.0505371 162.228 179.711	0 16433.4 2331.2
0.0507812 154.926 170.401	0 31327.1 2024.76
0.0510254 198.916 161.007	0 43973.4 1721.76
0.0512695 129.806 151.701	0 12185.8 1441.41
0.0515137 121.561 142.629	0 14365.8 1197.72
0.0517578 114.531 133.907	0 10884.6 998.203
0.052002 127.537 125.616	0 17123.4 843.724
0.0522461 122.597 117.806	0 13820 729.518
0.0524902 110.006 110.497	0 9341.56 647.086
0.0527344 86.5461 103.689	0 6508.81 586.564
0.0529785 82.2325 97.3624	0 6408.89 538.887
0.0532227 83.6204 91.4882	0 6250 497.198
0.0534668 85.9337 86.0298	0 7647.44 457.33
0.0537109 87.9783 80.949	0 8859.1 417.523
0.0539551 71.5579 76.2102	0 4822.31 377.742
0.0541992 62.7622 71.7827	0 4094.05 338.897
0.0544434 66.8845 67.6426	0 3606.84 302.171
0.0546875 65.1784 63.7732	0 3720.4 268.532
0.0549316 55.4546 60.1639	0 3694.47 238.494
0.0551758 45.3685 56.8084	0 2246.18 212.106
0.0554199 60.4539 53.7022	0 4343.76 189.096
0.0556641 43.1788 50.8399	0 1551.74 169.073
0.0559082 45.436 48.2129	0 1793.72 151.658
0.0561523 40.7191 45.8086	0 1804.67 136.52
0.0563965 40.9454 43.6098	0 1197.13 123.334
0.0566406 40.0664 41.5955	0 1682.84 111.744
0.0568848 35.8386 39.7428	0 865.845 101.367
0.0571289 37.9521 38.0286	0 1655.79 91.8679
0.057373 41.6133 36.4322	0 1476.77 83.0253
0.0576172 33.5986 34.9365	0 1255.91 74.763
0.0578613 32.0109 33.5293	0 1029.69 67.1115
0.0581055 29.3618 32.2034	0 1045.57 60.1352
0.0583496 27.8103 30.9555	0 777.295 53.8754
0.0585938 30.8557 29.7856	0 714.572 48.3476
0.0588379 29.942 28.6946	0 1195.22 43.584
0.059082 25.9866 27.6834	0 538.247 39.6761
0.0593262 26.0771 26.7509	0 760.433 36.766
0.0595703 21.0258 25.8937	0 337.114 34.9757
0.0598145 23.26 25.106	0 463.977 34.3061
0.0600586 23.3953 24.3799	0 503.268 34.5681
0.0603027 25.3634 23.7066	0 882.755 35.3903
0.0605469 25.4069 23.0777	0 702.794 36.3066
0.060791 21.3356 22.4863	0 349.706 36.8849
0.0610352 22.4024 21.9278	0 633.657 36.8403
0.0612793 21.4561 21.4001	0 654.848 36.0907
0.0615234 20.8399 20.9029	0 608.622 34.7426
0.0617676 16.8593 20.4371	0 238.386 33.024
0.0620117 21.0119 20.0035	0 407.193 31.1949
0.0622559 15.4737 19.6017	0 230.458 29.4676
0.0625 22.4501 19.2304	0 581.554 27.9593
