0 0 1.89715	0 0 0.455435
0.000244141 3.49685 2.25969	0 12.4068 0.585012
0.000488281 3.89351 2.63404	0 26.8425 0.719279
0.000732422 4.42828 3.01235	0 15.8974 0.85332
0.000976562 3.93786 3.38878	0 15.9653 0.985729
0.0012207 4.20663 3.76017	0 20.8925 1.11926
0.00146484 3.77277 4.12613	0 12.1707 1.26016
0.00170898 3.90899 4.4887	0 15.3541 1.41674
0.00195312 4.18646 4.85153	0 19.9407 1.59812
0.00219727 4.93134 5.21903	0 32.4689 1.81382
0.00244141 5.93118 5.59542	0 26.8789 2.07401
0.00268555 5.89735 5.98409	0 32.9091 2.3894
0.00292969 6.07043 6.38707	0 25.3637 2.76981
0.00317383 6.55802 6.80488	0 45.626 3.22072
0.00341797 6.4263 7.23648	0 47.9761 3.73885
0.00366211 7.21745 7.67945	0 53.0794 4.30849
0.00390625 7.77033 8.13018	0 65.1842 4.90114
0.00415039 9.68521 8.58417	0 121.234 5.47997
0.00439453 9.28385 9.03633	0 127.075 6.00835
0.00463867 9.43889 9.4812	0 99.838 6.46017
0.00488281 9.58463 9.91317	0 98.7932 6.82784
0.00512695 11.427 10.3267	0 149.108 7.12477
0.00537109 10.152 10.7163	0 93.1519 7.38085
0.00561523 12.2803 11.077	0 177.745 7.6321
0.00585938 11.095 11.4042	0 124.851 7.90766
0.00610352 12.7187 11.6942	0 214.657 8.21859
0.00634766 13.4235 11.9442	0 215.133 8.55243
0.0065918 11.7514 12.1529	0 141.34 8.87622
0.00683594 12.8669 12.3203	0 214.42 9.14807
0.00708008 14.1326 12.4479	0 167.545 9.33401
0.00732422 13.6623 12.5388	0 259.669 9.42444
0.00756836 12.0833 12.5971	0 174.636 9.44315
0.0078125 11.5678 12.6278	0 158.951 9.44408
0.00805664 13.5612 12.6362	0 218.656 9.49564
0.00830078 14.1709 12.6277	0 203.489 9.6579
0.00854492 10.7529 12.6073	0 97.0443 9.96183
0.00878906 12.52 12.5794	0 206.163 10.3989
0.0090332 12.8532 12.5474	0 156.46 10.9248
0.00927734 14.2103 12.5139	0 147.402 11.475
0.00952148 11.8702 12.4803	0 177.159 11.9836
0.00976562 10.1615 12.4468	0 192.081 12.399
0.0100098 12.6543 12.4128	0 160.896 12.691
0.0102539 13.8572 12.3765	0 218.632 12.8494
0.010498 11.4987 12.3362	0 135.174 12.8797
0.0107422 13.0786 12.29	0 199.29 12.7967
0.0109863 11.5378 12.2367	0 152.499 12.6221
0.0112305 13.0859 12.1763	0 133.968 12.3834
0.0114746 12.6603 12.1103	0 135.626 12.1142
0.0117188 13.4295 12.0415	0 169.019 11.8536
0.0119629 11.0379 11.9737	0 100.106 11.6432
0.012207 10.9995 11.9113	0 109.183 11.5204
0.0124512 12.2804 11.8579	0 214.232 11.51
0.0126953 10.0721 11.8161	0 86.3674 11.6151
0.0129395 11.581 11.7867	0 137.837 11.8121
0.0131836 10.8746 11.7688	0 161.54 12.0527
0.0134277 12.5611 11.7599	0 178.596 12.274
0.0136719 10.7475 11.757	0 145.249 12.414
0.013916 12.5632 11.757	0 131.196 12.4273
0.0141602 13.8778 11.7578	0 204.55 12.2965
0.0144043 11.9543 11.7588	0 132.525 12.0341
0.0146484 12.4787 11.7608	0 193.886 11.6757
0.0148926 9.9641 11.7657	0 92.948 11.2686
0.0151367 10.647 11.7761	0 105.121 10.8588
0.0153809 11.351 11.794	0 241.943 10.483
0.015625 11.4882 11.8209	0 151.082 10.1672
0.0158691 11.5765 11.8571	0 126.802 9.92984
0.0161133 13.9638 11.9016	0 143.744 9.78598
0.0163574 11.0352 11.9527	0 127.77 9.7473
0.0166016 11.9779 12.0079	0 112.748 9.81687
0.0168457 11.4261 12.0649	0 114.394 9.98182
0.0170898 12.5031 12.1215	0 131.54 10.21
0.017334 12.3759 12.1761	0 128.663 10.455
0.0175781 11.8411 12.2278	0 160.444 10.6702
0.0178223 14.326 12.2763	0 223.348 10.8254
0.0180664 10.0703 12.3222	0 86.3685 10.919
0.0183105 13.2564 12.3663	0 225.25 10.9802
