0 0 1.56045	0 0 0.256969
0.000244141 2.70931 1.87904	0 8.05061 0.344047
0.000488281 2.82044 2.21605	0 5.31523 0.444677
0.000732422 3.25252 2.56581	0 11.9837 0.558526
0.000976562 3.15026 2.92396	0 9.25587 0.685869
0.0012207 3.7098 3.28804	0 11.3332 0.827546
0.00146484 3.43802 3.65776	0 9.04803 0.984721
0.00170898 3.56316 4.03482	0 15.7344 1.15892
0.00195312 3.92346 4.42236	0 13.3567 1.35273
0.00219727 5.27294 4.82425	0 27.5113 1.57128
0.00244141 4.70925 5.24423	0 22.5034 1.82408
0.00268555 4.73591 5.68519	0 17.2902 2.12645
0.00292969 5.10335 6.14863	0 20.1565 2.49965
0.00317383 6.58662 6.63428	0 43.2445 2.96898
0.00341797 7.37569 7.13997	0 46.6338 3.5595
0.00366211 7.11861 7.66167	0 55.0674 4.28974
0.00390625 8.38432 8.1936	0 76.7894 5.16449
0.00415039 7.9762 8.72845	0 63.4974 6.16889
0.00439453 10.1991 9.25765	0 65.4746 7.26575
0.00463867 9.69243 9.77167	0 106.389 8.3974
0.00488281 10.5201 10.2605	0 103.505 9.49225
0.00512695 11.7052 10.7143	0 140.653 10.4749
0.00537109 10.1224 11.1239	0 162.306 11.2786
0.00561523 13.1676 11.4819	0 200.763 11.8576
0.00585938 15.0847 11.7833	0 257.171 12.1981
0.00610352 12.8083 12.026	0 141.868 12.3231
0.00634766 11.5036 12.2111	0 153.834 12.289
0.0065918 14.8124 12.3429	0 220.445 12.1725
0.00683594 12.3054 12.4282	0 132.012 12.0505
0.00708008 14.0685 12.475	0 179.28 11.978
0.00732422 11.2439 12.4921	0 113.675 11.9706
0.00756836 10.5318 12.4871	0 115.114 11.9996
0.0078125 13.9158 12.4664	0 219.722 12.001
0.00805664 12.4989 12.4342	0 178.769 11.8978
0.00830078 10.2644 12.3929	0 106.191 11.6272
0.00854492 14.0689 12.343	0 205.945 11.1634
0.00878906 14.1898 12.2846	0 223.181 10.5269
