0 0 1.05361	0 0 0.138412
0.000244141 1.94104 1.25624	0 3.26083 0.177121
0.000488281 2.3721 1.46514	0 5.9075 0.215091
0.000732422 1.79275 1.67545	0 2.94177 0.249061
0.000976562 2.29156 1.88343	0 7.01291 0.276828
0.0012207 2.39454 2.08697	0 5.44985 0.29819
0.00146484 2.40062 2.28586	0 7.26568 0.315438
0.00170898 2.59448 2.48167	0 5.84482 0.333176
0.00195312 2.88373 2.67744	0 6.2927 0.357407
0.00219727 2.29945 2.87717	0 3.45294 0.394187
0.00244141 2.64268 3.08521	0 6.44388 0.448351
0.00268555 2.81574 3.30583	0 8.64335 0.522819
0.00292969 3.46366 3.54285	0 14.5882 0.618684
0.00317383 3.73973 3.79948	0 10.9795 0.735893
0.00341797 3.29597 4.07829	0 7.2914 0.874037
0.00366211 3.99862 4.38128	0 17.4236 1.03288
0.00390625 5.32103 4.71002	0 30.3856 1.21252
0.00415039 4.18246 5.06566	0 17.7504 1.41359
0.00439453 5.23627 5.44894	0 20.8789 1.63784
0.00463867 5.33865 5.86011	0 22.1929 1.88953
0.00488281 5.86508 6.29887	0 25.3089 2.17724
0.00512695 5.85932 6.7643	0 34.8599 2.5152
0.00537109 6.82531 7.25494	0 30.6991 2.92313
0.00561523 7.59185 7.76894	0 50.8308 3.42402
0.00585938 8.72452 8.30427	0 87.1921 4.04027
0.00610352 8.40829 8.859	0 62.6826 4.7887
0.00634766 9.37111 9.43146	0 85.7627 5.67516
0.0065918 10.6017 10.0203	0 120.555 6.68849
0.00683594 10.6333 10.6241	0 96.8265 7.79484
0.00708008 10.3382 11.2416	0 97.3423 8.93542
0.00732422 10.4646 11.8705	0 111.148 10.0324
0.00756836 12.1641 12.5076	0 153.211 11.0072
0.0078125 14.3646 13.1478	0 296.973 11.8079
0.00805664 14.7904 13.7841	0 207.859 12.4367
0.00830078 12.1946 14.4071	0 155.747 12.9622
0.00854492 16.375 15.005	0 262.214 13.5039
0.00878906 15.5098 15.5642	0 233.077 14.1914
0.0090332 16.7825 16.069	0 210.522 15.1096
0.00927734 18.4106 16.5035	0 386.903 16.2537
0.00952148 16.9838 16.852	0 232.912 17.5133
0.00976562 19.0605 17.1004	0 324.812 18.6931
0.0100098 20.4636 17.2383	0 393.712 19.5661
0.0102539 17.6045 17.2596	0 273.422 19.94
0.010498 22.4264 17.1637	0 520.212 19.7145
0.0107422 18.6754 16.9561	0 375.981 18.9117
0.0109863 16.3859 16.6484	0 225.489 17.6669
0.0112305 17.7322 16.2572	0 310.785 16.1864
0.0114746 15.4133 15.8029	0 220.386 14.6846
0.0117188 16.0712 15.3086	0 279.027 13.3268
0.0119629 14.8631 14.7978	0 246.476 12.1964
0.012207 13.4071 14.2933	0 183.197 11.297
0.0124512 13.097 13.8152	0 207.222 10.5826
0.0126953 10.6747 13.3805	0 94.3511 9.99689
0.0129395 11.4627 13.0019	0 98.3822 9.50288
0.0131836 12.9997 12.6877	0 132.606 9.09205
0.0134277 11.5354 12.4418	0 100.909 8.77465
0.0136719 10.2031 12.2638	0 92.8538 8.5615
0.013916 12.8945 12.1498	0 119.084 8.44927
0.0141602 9.92958 12.0929	0 109.306 8.41654
0.0144043 10.2044 12.0841	0 129.683 8.43108
0.0146484 13.3218 12.1133	0 212.734 8.46303
0.0148926 11.9321 12.1703	0 148.079 8.49727
0.0151367 12.0222 12.2457	0 214.19 8.53914
0.0153809 14.1833 12.3316	0 222.319 8.61166
0.015625 13.4906 12.4224	0 179.91 8.74611
0.0158691 10.2049 12.5147	0 89.9823 8.97002
0.0161133 13.8474 12.6072	0 172.295 9.29701
0.0163574 12.1366 12.7001	0 160.269 9.72164
0.0166016 12.1642 12.7947	0 156.014 10.2203
0.0168457 13.5328 12.8928	0 190.269 10.757
0.0170898 13.8531 12.9958	0 242.803 11.2917
0.017334 11.3353 13.1046	0 109.471 11.7866
0.0175781 13.2256 13.2195	0 147.576 12.2082
0.0178223 11.879 13.3407	0 132.952 12.5267
0.0180664 14.7993 13.4677	0 202.028 12.7161
0.0183105 14.0588 13.6008	0 215.387 12.761
0.0185547 15.5736 13.7401	0 313.289 12.6674
0.0187988 12.3776 13.8863	0 173.93 12.4723
