0 0 2.83945	0 0 0.833169
0.000244141 6.33878 3.37974	0 39.284 1.05402
0.000488281 5.00667 3.936	0 33.4839 1.28586
0.000732422 5.85561 4.49493	0 25.6513 1.5265
0.000976562 5.24952 5.04565	0 31.4049 1.77924
0.0012207 6.76041 5.58072	0 31.9677 2.0518
0.00146484 6.38522 6.09646	0 34.7499 2.35392
0.00170898 6.74532 6.59265	0 40.8819 2.69443
0.00195312 6.29242 7.0716	0 35.1495 3.0788
0.00219727 7.5132 7.53699	0 56.4073 3.50737
0.00244141 8.38799 7.99276	0 55.7189 3.97448
0.00268555 7.6391 8.4422	0 58.0819 4.46899
0.00292969 8.03921 8.88744	0 54.3209 4.97683
0.00317383 10.392 9.32925	0 139.119 5.4857
0.00341797 10.498 9.76716	0 86.1983 5.99042
0.00366211 10.6129 10.1997	0 85.8082 6.49622
0.00390625 10.0723 10.6246	0 98.4894 7.01746
0.00415039 10.5587 11.0392	0 103.276 7.57157
0.00439453 11.5573 11.4407	0 134.75 8.1699
0.00463867 12.4388 11.826	0 144.839 8.80945
0.00488281 11.9093 12.1924	0 134.015 9.46867
0.00512695 13.8556 12.5371	0 177.942 10.1095
0.00537109 13.8416 12.8578	0 265.083 10.6858
0.00561523 12.0865 13.1523	0 130.21 11.1564
0.00585938 15.2477 13.4185	0 313.869 11.4988
0.00610352 14.1535 13.654	0 182.663 11.7189
0.00634766 11.9589 13.8564	0 111.922 11.8519
0.0065918 15.7615 14.0227	0 245.345 11.9523
0.00683594 12.9074 14.1499	0 168.382 12.0777
0.00708008 16.3785 14.2354	0 292.019 12.2701
0.00732422 15.6095 14.2776	0 239.231 12.5427
0.00756836 14.7105 14.2763	0 190.571 12.8769
0.0078125 14.3979 14.2335	0 178.576 13.2294
0.00805664 16.5547 14.1537	0 241.91 13.5474
0.00830078 14.0393 14.0433	0 196.431 13.7888
0.00854492 15.1061 13.9104	0 248.672 13.9398
0.00878906 11.0439 13.7635	0 105.954 14.0228
0.0090332 13.2495 13.6111	0 208.314 14.0901
0.00927734 13.914 13.4607	0 193.731 14.2024
0.00952148 12.2198 13.3182	0 178.242 14.4022
0.00976562 13.6702 13.1881	0 221.442 14.6918
0.0100098 12.03 13.0732	0 191.701 15.0261
0.0102539 14.4459 12.9752	0 277.201 15.3246
0.010498 13.2032 12.8951	0 176.526 15.4953
0.0107422 11.4893 12.8334	0 201.567 15.4644
0.0109863 11.9941 12.79	0 129.018 15.1985
0.0112305 12.3484 12.7644	0 175.109 14.7135
0.0114746 12.7183 12.7553	0 171.546 14.0684
0.0117188 13.2338 12.7607	0 191.703 13.3446
0.0119629 11.8242 12.7781	0 123.279 12.6226
0.012207 12.9905 12.804	0 205.204 11.9626
0.0124512 12.4371 12.8352	0 148.412 11.3976
0.0126953 12.3455 12.8685	0 126.433 10.9397
0.0129395 15.0316 12.9014	0 182.873 10.5941
0.0131836 12.1365 12.9324	0 123.212 10.3716
0.0134277 13.9594 12.9611	0 248.728 10.2917
0.0136719 13.7467 12.9881	0 212.182 10.3736
0.013916 11.6646 13.0147	0 139.473 10.6184
0.0141602 11.9635 13.0428	0 133.561 10.9955
0.0144043 12.4715 13.0745	0 121.655 11.4417
0.0146484 12.7126 13.1121	0 180.868 11.8765
0.0148926 15.6447 13.1577	0 192.24 12.2306
0.0151367 13.3814 13.2133	0 203.143 12.4701
0.0153809 13.4929 13.2803	0 223.807 12.6067
0.015625 11.6668 13.3594	0 145.875 12.6856
0.0158691 12.4386 13.4502	0 163.82 12.7582
0.0161133 12.6161 13.5507	0 162.256 12.8529
0.0163574 12.9608 13.6575	0 120.223 12.9614
0.0166016 14.5982 13.7658	0 188.663 13.0461
0.0168457 16.1346 13.8701	0 262.894 13.066
0.0170898 13.6535 13.9651	0 177.501 13.0076
0.017334 12.1888 14.0463	0 113.37 12.9023
0.0175781 15.8574 14.1109	0 251.396 12.8209
0.0178223 16.1294 14.1584	0 180.258 12.8463
0.0180664 14.8651 14.1903	0 224.996 13.0361
0.0183105 13.0135 14.21	0 150.993 13.3944
0.0185547 14.0053 14.222	0 186.41 13.8658
0.0187988 14.1145 14.2313	0 263.394 14.3548
0.019043 13.3893 14.2422	0 180.402 14.7597
0.0192871 14.9962 14.2581	0 210.07 15.0058
0.0195312 13.4554 14.2809	0 204.977 15.0647
0.0197754 12.8784 14.3114	0 150.287 14.9524
0.0200195 15.1553 14.3497	0 166.913 14.7158
0.0202637 14.5327 14.3955	0 183.59 14.4145
0.0205078 15.8748 14.4491	0 217.416 14.1079
0.020752 15.5033 14.511	0 310.072 13.8485
0.0209961 12.6099 14.5825	0 126.134 13.6794
0.0212402 15.5433 14.6653	0 169.802 13.6343
0.0214844 12.2686 14.761	0 140.129 13.741
0.0217285 14.4686 14.871	0 165.43 14.0287
0.0219727 14.5592 14.996	0 218.038 14.5355
0.0222168 15.6951 15.1365	0 198.63 15.3093
0.0224609 17.9586 15.292	0 427.553 16.3931
0.0227051 13.6571 15.4621	0 158.962 17.7941
0.0229492 13.996 15.6464	0 156.554 19.4493
0.0231934 17.4414 15.8444	0 409.472 21.2058
0.0234375 15.1906 16.0563	0 272.944 22.8364
0.0236816 14.38 16.2822	0 440.617 24.0942
0.0239258 17.5254 16.5227	0 495.942 24.7911
0.0241699 17.3227 16.7787	0 433.961 24.8674
0.0244141 17.7672 17.0511	0 382.404 24.4227
0.0246582 16.4501 17.3403	0 281.273 23.6922
0.0249023 17.7402 17.6468	0 253.234 22.9798
0.0251465 16.5338 17.97	0 277.278 22.5768
0.0253906 16.2814 18.3084	0 202.202 22.6987
0.0256348 18.6468 18.6597	0 498.905 23.4573
0.0258789 21.986 19.0208	0 410.86 24.868
0.026123 18.6242 19.3881	0 270.348 26.8753
0.0263672 19.2521 19.7581	0 308.256 29.3794
0.0266113 19.0739 20.1277	0 261.321 32.251
0.0268555 22.5266 20.4943	0 557.74 35.3342
0.0270996 20.9177 20.8562	0 462.982 38.4444
0.0273438 21.5037 21.2125	0 583.125 41.3715
0.0275879 22.472 21.563	0 388.463 43.8977
0.027832 18.9484 21.9085	0 424.716 45.8296
0.0280762 20.4932 22.2512	0 433.256 47.041
0.0283203 25.3448 22.5946	0 812.635 47.5102
0.0285645 24.8562 22.9447	0 506.258 47.3409
0.0288086 23.595 23.3097	0 546.189 46.7533
0.0290527 24.5422 23.6998	0 800.717 46.046
0.0292969 20.2193 24.1266	0 494.354 45.5377
0.029541 26.4362 24.6015	0 666.846 45.5048
0.0297852 21.6195 25.1341	0 339.284 46.1385
0.0300293 24.3699 25.7304	0 595.919 47.5343
0.0302734 24.0058 26.3924	0 494.383 49.7174
0.0305176 26.5201 27.1172	0 775.164 52.6816
0.0307617 25.2454 27.8988	0 504.97 56.4128
0.0310059 28.4458 28.7295	0 1007.29 60.8721
0.03125 29.7822 29.6022	0 948.103 65.9438
0.0314941 34.3727 30.5132	0 1101.04 71.3823
0.0317383 36.0969 31.4628	0 1774.73 76.8097
