0 0 1.40112	0 0 0.174331
0.000244141 2.86336 1.68251	0 7.90631 0.223972
0.000488281 2.65825 1.98032	0 7.82976 0.275882
0.000732422 2.6769 2.29013	0 8.14738 0.328687
0.000976562 2.79925 2.60871	0 8.94434 0.382813
0.0012207 2.76337 2.93444	0 8.06271 0.441183
0.00146484 2.95833 3.26753	0 7.74541 0.509682
0.00170898 3.27 3.60987	0 11.3406 0.597568
0.00195312 4.20474 3.96478	0 20.1773 0.717943
0.00219727 3.47644 4.3365	0 9.23797 0.887932
0.00244141 4.25827 4.72968	0 22.0673 1.12782
0.00268555 5.74307 5.14882	0 31.8543 1.45838
0.00292969 5.41779 5.59773	0 26.0509 1.89646
0.00317383 5.06002 6.07903	0 22.0879 2.45031
0.00341797 5.08049 6.5937	0 20.6569 3.11714
0.00366211 6.39855 7.14078	0 60.7007 3.88489
0.00390625 7.26842 7.71723	0 54.7918 4.73812
0.00415039 7.59991 8.31785	0 102.978 5.66528
0.00439453 10.2527 8.93554	0 100.974 6.66295
0.00463867 8.95053 9.56146	0 70.3324 7.73391
0.00488281 10.7774 10.1855	0 96.4177 8.87911
0.00512695 10.6209 10.7966	0 107.862 10.0866
0.00537109 11.6416 11.3833	0 231.28 11.3226
0.00561523 11.8617 11.9342	0 134.475 12.5298
0.00585938 12.5578 12.4385	0 152.472 13.634
0.00610352 16.3962 12.8866	0 232.103 14.5581
0.00634766 14.1344 13.2709	0 194.688 15.2387
0.0065918 14.1278 13.5862	0 173.877 15.6402
0.00683594 14.951 13.8303	0 285.735 15.7607
0.00708008 14.7892 14.0043	0 180.239 15.6296
0.00732422 15.6125 14.1128	0 230.745 15.2989
0.00756836 14.5377 14.1631	0 187.044 14.8321
0.0078125 15.8191 14.165	0 335.185 14.2941
0.00805664 14.6786 14.1296	0 237.445 13.7414
0.00830078 14.0726 14.0682	0 161.662 13.2158
0.00854492 13.2382 13.9907	0 150.473 12.7411
0.00878906 12.4819 13.9054	0 182.726 12.3238
0.0090332 11.7179 13.8174	0 127.526 11.9592
0.00927734 14.3292 13.7291	0 201.817 11.6397
0.00952148 15.5652 13.6407	0 275.493 11.3598
0.00976562 12.2879 13.5507	0 198.25 11.1158
0.0100098 14.8947 13.4573	0 184.685 10.9006
0.0102539 14.2055 13.3594	0 179.088 10.6985
0.010498 13.5766 13.257	0 223.658 10.4853
0.0107422 12.5302 13.152	0 138.47 10.236
0.0109863 13.5082 13.0473	0 232.666 9.9365
0.0112305 12.2775 12.9469	0 150.721 9.59287
0.0114746 11.7675 12.8549	0 164.051 9.2331
0.0117188 12.0783 12.7747	0 129.91 8.89961
0.0119629 13.7947 12.7086	0 156.277 8.63642
0.012207 12.3271 12.6577	0 129.277 8.47658
0.0124512 11.0638 12.6215	0 113.9 8.43532
0.0126953 12.9322 12.5985	0 162.447 8.51097
0.0129395 13.4411 12.5864	0 175.407 8.69207
0.0131836 12.4343 12.5822	0 107.885 8.96539
0.0134277 11.6868 12.5833	0 135.658 9.31996
0.0136719 13.2053 12.5871	0 154.552 9.74474
0.013916 11.9265 12.592	0 131.322 10.2223
0.0141602 12.41 12.5966	0 201.295 10.7236
0.0144043 14.761 12.6004	0 286.032 11.2067
0.0146484 12.7241 12.6033	0 142.268 11.6211
0.0148926 12.0614 12.6052	0 169.846 11.9141
0.0151367 12.265 12.606	0 157.167 12.0387
0.0153809 10.0029 12.6052	0 126.243 11.9631
0.015625 12.2971 12.6023	0 135.14 11.6819
0.0158691 15.3644 12.5968	0 207.938 11.2269
0.0161133 13.2409 12.5884	0 163.141 10.6699
0.0163574 12.3804 12.5774	0 148.492 10.111
0.0166016 13.8307 12.5652	0 163.496 9.6538
0.0168457 11.4993 12.5532	0 103.174 9.37392
0.0170898 12.4242 12.5434	0 132.127 9.29481
0.017334 10.6653 12.5376	0 98.8656 9.38214
0.0175781 11.7381 12.5369	0 119.655 9.55916
0.0178223 13.7326 12.5416	0 200.768 9.73619
0.0180664 12.7359 12.5515	0 140.311 9.84079
0.0183105 12.3845 12.5657	0 127.195 9.83656
0.0185547 13.9927 12.5833	0 133.833 9.72482
0.0187988 12.8164 12.6037	0 183.922 9.53261
0.019043 11.3736 12.6263	0 93.5413 9.29606
0.0192871 11.841 12.6513	0 128.605 9.04832
0.0195312 13.2072 12.679	0 157.895 8.81662
0.0197754 11.868 12.7102	0 133.5 8.6269
0.0200195 13.2033 12.7458	0 136.772 8.51002
0.0202637 14.4355 12.7869	0 216.733 8.50347
0.0205078 12.5602 12.8343	0 104.612 8.64531
0.020752 12.3248 12.889	0 148.312 8.96261
0.0209961 11.2888 12.9521	0 98.1107 9.4599
0.0212402 12.7991 13.0242	0 148.225 10.1138
0.0214844 12.4961 13.1059	0 139.638 10.8768
0.0217285 15.0815 13.1976	0 203.519 11.6879
0.0219727 14.8452 13.2991	0 143.241 12.4859
0.0222168 11.9644 13.4101	0 162.001 13.2205
0.0224609 11.3481 13.5294	0 191.282 13.8574
0.0227051 12.6179 13.6552	0 152.925 14.3786
0.0229492 16.757 13.7852	0 238.386 14.779
0.0231934 12.3918 13.9161	0 154.678 15.0626
0.0234375 14.2613 14.0442	0 210.392 15.2407
0.0236816 14.666 14.1658	0 217.615 15.3329
0.0239258 15.5846 14.2774	0 149.911 15.3685
0.0241699 12.2789 14.3764	0 107.053 15.3861
0.0244141 15.7406 14.4615	0 259.223 15.4288
0.0246582 15.7093 14.5326	0 194.883 15.5365
0.0249023 14.4663 14.5913	0 186.709 15.7374
0.0251465 15.1359 14.6404	0 274.609 16.042
0.0253906 15.4788 14.6835	0 201.489 16.439
0.0256348 14.012 14.7244	0 223.24 16.8925
0.0258789 13.6817 14.7665	0 217.614 17.3408
0.026123 12.9023 14.8121	0 118.024 17.7009
0.0263672 16.2891 14.8623	0 353.341 17.8825
0.0266113 14.8039 14.9174	0 226.332 17.8122
0.0268555 15.9714 14.9772	0 249.517 17.4586
0.0270996 13.6897 15.0416	0 282.129 16.8487
0.0273438 15.0722 15.1114	0 290.449 16.0636
0.0275879 15.9978 15.1889	0 227.803 15.216
0.027832 17.4559 15.2777	0 298.442 14.4181
0.0280762 14.2402 15.3824	0 192.05 13.7542
0.0283203 15.0912 15.5078	0 191.655 13.2676
0.0285645 14.6005 15.6574	0 280.248 12.9649
0.0288086 12.4812 15.8327	0 176.383 12.8317
0.0290527 15.4454 16.0326	0 170.491 12.8503
