0 0 1.20332	0 0 0.139544
0.000244141 2.39037 1.44639	0 3.94075 0.183929
0.000488281 2.42031 1.70464	0 5.68857 0.233786
0.000732422 2.43074 1.97462	0 5.03935 0.289528
0.000976562 2.1224 2.25388	0 4.95325 0.353233
0.0012207 2.33586 2.5413	0 5.79072 0.428911
0.00146484 2.4754 2.83724	0 8.1391 0.52229
0.00170898 2.75618 3.14345	0 6.45804 0.640218
0.00195312 3.49695 3.46281	0 18.9833 0.789917
0.00219727 3.65903 3.79898	0 11.924 0.978294
0.00244141 4.02073 4.15596	0 15.7812 1.21134
0.00268555 4.4651 4.5377	0 15.45 1.49362
0.00292969 4.18944 4.94768	0 17.7601 1.82784
0.00317383 4.19874 5.38855	0 24.3048 2.21449
0.00341797 5.59281 5.86185	0 30.5039 2.65165
0.00366211 6.22984 6.36781	0 31.9512 3.13499
0.00390625 5.68456 6.90531	0 27.7542 3.65809
0.00415039 7.50924 7.47195	0 73.8434 4.21331
0.00439453 7.62753 8.06425	0 59.9568 4.79409
0.00463867 8.20156 8.67788	0 82.949 5.39907
0.00488281 9.03201 9.30785	0 105.133 6.03749
0.00512695 11.1665 9.9486	0 134.602 6.73358
0.00537109 10.8613 10.594	0 124.845 7.52611
0.00561523 11.5073 11.237	0 113.341 8.46055
0.00585938 10.5639 11.8696	0 88.5313 9.57434
0.00610352 10.567 12.4828	0 97.2397 10.8798
0.00634766 15.1065 13.0662	0 292.59 12.3503
0.0065918 14.3295 13.6086	0 241.848 13.9147
0.00683594 16.2593 14.0981	0 328.587 15.4599
0.00708008 16.1136 14.5232	0 226.252 16.8418
0.00732422 14.2747 14.8737	0 227.609 17.9064
0.00756836 16.4628 15.1409	0 301.565 18.5189
0.0078125 17.0709 15.3191	0 292.382 18.5993
0.00805664 16.8562 15.4062	0 318.701 18.1524
0.00830078 18.2961 15.4038	0 311.38 17.2779
0.00854492 15.6493 15.3177	0 282.383 16.1505
0.00878906 16.881 15.1578	0 242.725 14.9722
0.0090332 15.0614 14.9373	0 219.542 13.9131
0.00927734 16.1675 14.6717	0 227.207 13.066
0.00952148 13.4926 14.3781	0 150.198 12.4324
0.00976562 13.3304 14.0732	0 178.121 11.9433
