0 0 2.22482	0 0 0.549616
0.000244141 3.67615 2.67843	0 18.2292 0.711897
0.000488281 4.70856 3.15618	0 22.2231 0.886771
0.000732422 4.40311 3.64779	0 18.0263 1.06965
0.000976562 3.40539 4.14386	0 9.48134 1.25829
0.0012207 5.70527 4.63663	0 40.5041 1.45374
0.00146484 4.9617 5.12056	0 24.487 1.66074
0.00170898 5.75148 5.59229	0 28.1183 1.88761
0.00195312 6.08917 6.05051	0 28.9306 2.14535
0.00219727 6.88169 6.49545	0 33.1628 2.44589
0.00244141 6.59876 6.92846	0 35.404 2.79931
0.00268555 7.71273 7.35156	0 73.3201 3.21115
0.00292969 7.92519 7.76706	0 56.7202 3.68092
0.00317383 8.47941 8.17733	0 69.3052 4.20307
0.00341797 8.65773 8.58455	0 66.1493 4.77029
0.00366211 8.69381 8.99042	0 57.8649 5.37768
0.00390625 8.72362 9.39595	0 95.3879 6.02529
0.00415039 10.2188 9.80112	0 83.6259 6.71688
0.00439453 10.5602 10.2047	0 115.599 7.45475
0.00463867 9.85316 10.604	0 78.7471 8.23269
0.00488281 10.3372 10.9952	0 86.747 9.03103
0.00512695 12.2235 11.3732	0 197.684 9.81693
0.00537109 13.0217 11.7322	0 129.253 10.5509
0.00561523 10.5428 12.0665	0 128.642 11.1964
0.00585938 14.3303 12.3708	0 237.609 11.7292
0.00610352 12.3819 12.641	0 145.85 12.1401
0.00634766 15.1083 12.8742	0 232.514 12.4331
0.0065918 14.7736 13.0693	0 209.388 12.6185
0.00683594 12.6362 13.2264	0 134.885 12.7072
0.00708008 12.8849 13.3469	0 194.06 12.7073
0.00732422 11.8232 13.4327	0 107.508 12.6262
0.00756836 15.4138 13.4863	0 193.447 12.4745
0.0078125 15.2517 13.5103	0 187.204 12.2706
0.00805664 13.3564 13.5074	0 158.104 12.0431
0.00830078 13.1071 13.4807	0 162.599 11.8295
0.00854492 13.4712 13.4336	0 150.498 11.6716
0.00878906 14.8933 13.3703	0 147.519 11.6102
0.0090332 12.911 13.2954	0 117.399 11.68
0.00927734 12.3705 13.2141	0 120.755 11.9043
0.00952148 13.6996 13.1316	0 182.711 12.292
0.00976562 14.0061 13.0529	0 165.544 12.8334
0.0100098 11.7292 12.9824	0 127.108 13.4969
0.0102539 12.5184 12.923	0 202.669 14.2298
0.010498 10.9132 12.8763	0 130.658 14.9624
0.0107422 13.621 12.8422	0 239.563 15.6179
0.0109863 12.896 12.8191	0 115.338 16.1244
0.0112305 12.8978 12.8042	0 272.441 16.4265
0.0114746 13.5554 12.7942	0 177.433 16.495
0.0117188 11.6586 12.7856	0 108.994 16.331
0.0119629 13.2569 12.7754	0 182.004 15.9648
0.012207 12.1098 12.7615	0 147.201 15.4483
0.0124512 15.0249 12.7429	0 235.88 14.8455
0.0126953 12.9793 12.7197	0 188.221 14.2213
0.0129395 11.1355 12.6933	0 112.779 13.6328
0.0131836 12.7603 12.6653	0 177.197 13.1222
0.0134277 12.7682 12.6381	0 142.378 12.7118
0.0136719 12.7112 12.6135	0 171.888 12.4027
0.013916 11.8364 12.5931	0 106.136 12.1759
0.0141602 13.668 12.5777	0 267.53 11.9992
0.0144043 11.6963 12.5672	0 151.409 11.8361
0.0146484 11.723 12.5606	0 145.036 11.6566
0.0148926 11.7925 12.5566	0 121.36 11.4467
0.0151367 14.3945 12.5537	0 186.447 11.2134
0.0153809 13.6174 12.5508	0 184.382 10.9834
0.015625 10.7344 12.5475	0 124.377 10.7954
0.0158691 13.7753 12.5445	0 188.098 10.6866
0.0161133 11.0013 12.5439	0 79.2689 10.679
0.0163574 14.7524 12.5487	0 144.381 10.7719
0.0166016 11.34 12.5629	0 107.586 10.9447
0.0168457 13.7949 12.5906	0 248.659 11.1688
0.0170898 10.6422 12.6354	0 130.773 11.4218
0.017334 11.0593 12.6999	0 137.427 11.6962
0.0175781 13.249 12.785	0 198.194 11.9974
0.0178223 12.7473 12.8896	0 138.069 12.3323
0.0180664 12.2618 13.0104	0 110.042 12.6954
0.0183105 13.9715 13.1425	0 190.89 13.0594
0.0185547 12.2151 13.2796	0 130.897 13.3767
0.0187988 14.0313 13.4151	0 184.6 13.5893
0.019043 13.4607 13.5429	0 131.943 13.6455
0.0192871 13.9194 13.6584	0 167.689 13.5178
0.0195312 15.6329 13.759	0 202.978 13.2173
0.0197754 13.2915 13.8448	0 141.63 12.7998
0.0200195 16.1076 13.9181	0 261.171 12.3612
0.0202637 14.6079 13.9835	0 221.375 12.0195
0.0205078 12.0365 14.0465	0 141.353 11.8859
0.020752 12.7377 14.1132	0 171.341 12.0335
0.0209961 13.8615 14.1888	0 171.205 12.4753
0.0212402 13.3651 14.2774	0 213.319 13.1594
0.0214844 15.2394 14.3812	0 372.024 13.9842
0.0217285 15.5561 14.5009	0 180.853 14.8284
0.0219727 12.482 14.6356	0 182.62 15.5823
0.0222168 16.1844 14.7834	0 214.408 16.1711
0.0224609 13.3946 14.9415	0 141.772 16.5652
0.0227051 16.2253 15.1069	0 259.385 16.778
0.0229492 15.1074 15.2764	0 215.907 16.8556
0.0231934 15.0059 15.4469	0 274.238 16.8643
0.0234375 14.985 15.6162	0 179.316 16.8762
0.0236816 17.4821 15.7828	0 253.654 16.956
0.0239258 13.7142 15.9468	0 160.136 17.1504
0.0241699 18.7453 16.1102	0 310.047 17.4844
0.0244141 15.7398 16.2769	0 375.914 17.9659
0.0246582 17.5414 16.4528	0 395.936 18.5954
0.0249023 17.5706 16.645	0 275.14 19.3739
0.0251465 14.8287 16.861	0 215.48 20.3039
0.0253906 14.3672 17.1072	0 208.149 21.3829
0.0256348 17.2785 17.3877	0 311.154 22.5959
0.0258789 16.8217 17.7032	0 289.087 23.9139
0.026123 16.0397 18.0511	0 269.894 25.2999
0.0263672 21.3685 18.4247	0 548.77 26.7187
0.0266113 17.045 18.8151	0 379.117 28.1409
0.0268555 15.6798 19.212	0 143.412 29.5388
0.0270996 22.8442 19.6056	0 455.554 30.8761
0.0273438 23.2782 19.9883	0 690.533 32.1018
0.0275879 21.1171 20.3557	0 407.998 33.1532
0.027832 20.6718 20.7071	0 477.747 33.9714
0.0280762 21.4948 21.0455	0 446.534 34.5218
0.0283203 19.8913 21.3761	0 296.607 34.8142
0.0285645 22.7387 21.7052	0 607.807 34.9131
0.0288086 19.7298 22.0386	0 398.449 34.9351
0.0290527 21.8575 22.3802	0 375.169 35.031
0.0292969 22.1148 22.7314	0 458.981 35.354
0.029541 23.3544 23.0917	0 626.48 36.02
0.0297852 21.395 23.4589	0 378.076 37.0709
0.0300293 26.7732 23.8309	0 552.42 38.4583
0.0302734 25.8557 24.2069	0 465.157 40.0584
0.0305176 24.1061 24.5886	0 504.587 41.7219
0.0307617 25.409 24.9808	0 569.998 43.3444
0.0310059 25.558 25.3914	0 458.04 44.9305
0.03125 23.9703 25.8305	0 712.955 46.6213
0.0314941 26.6152 26.3095	0 582.364 48.6661
0.0317383 23.1641 26.8392	0 526.831 51.3377
0.0319824 27.245 27.4287	0 649.664 54.8149
0.0322266 27.2711 28.0844	0 633.792 59.0749
0.0324707 27.4846 28.809	0 1045.89 63.847
0.0327148 29.4655 29.6019	0 835.827 68.6602
0.032959 29.2993 30.459	0 1550.93 72.9801
0.0332031 29.7952 31.3742	0 795.574 76.3848
0.0334473 31.6197 32.3403	0 1241.2 78.7086
0.0336914 30.3267 33.3512	0 844.397 80.0922
0.0339355 37.276 34.403	0 910.856 80.9281
0.0341797 37.2196 35.4959	0 1457.56 81.7339
0.0344238 39.7762 36.635	0 1337.03 83.0141
0.034668 35.0518 37.8304	0 1370.87 85.1671
0.0349121 34.685 39.0961	0 1121.91 88.4726
0.0351562 40.1358 40.4487	0 1098.5 93.1624
0.0354004 42.0405 41.905	0 1588.47 99.5494
0.0356445 40.2361 43.4791	0 1762.71 108.147
0.0358887 45.135 45.1808	0 1771.02 119.687
0.0361328 38.9338 47.0146	0 1492.4 134.948
0.036377 46.5851 48.9789	0 1807.25 154.388
0.0366211 51.2594 51.0683	0 2341.65 177.689
0.0368652 47.5314 53.2749	0 2352.92 203.455
0.0371094 61.247 55.5918	0 3027.73 229.298
0.0373535 64.5464 58.0151	0 4832.3 252.427
0.0375977 55.7206 60.5467	0 3116.07 270.593
0.0378418 58.6805 63.1952	0 4627.34 283.016
0.0380859 66.9104 65.9763	0 4382.58 290.849
0.0383301 64.9978 68.9127	0 5111.28 296.937
0.0385742 56.6591 72.033	0 2070.88 304.947
0.0388184 87.5063 75.3711	0 6359.31 318.302
0.0390625 79.8637 78.9644	0 5796.35 339.395
0.0393066 78.557 82.8527	0 5727.68 369.445
0.0395508 81.269 87.0771	0 6035.48 408.974
0.0397949 72.1563 91.6791	0 5049.06 458.628
0.0400391 92.8466 96.7004	0 8203.08 519.965
0.0402832 104.41 102.184	0 8916.57 595.962
0.0405273 94.3582 108.174	0 9563.78 691.16
0.0407715 122.288 114.72	0 13428.8 811.524
0.0410156 101.71 121.878	0 10377 964.159
0.0412598 122.45 129.708	0 11945.7 1156.97
0.0415039 135.39 138.276	0 15744 1398.19
