0 0 2.44659	0 0 0.609391
0.000244141 4.60813 2.90953	0 19.1877 0.812379
0.000488281 5.08769 3.3828	0 22.2951 1.0472
0.000732422 4.83052 3.85425	0 19.3827 1.31293
0.000976562 5.0784 4.31446	0 43.7715 1.61002
0.0012207 6.38874 4.75797	0 45.3733 1.94156
0.00146484 5.00806 5.18375	0 21.5536 2.31455
0.00170898 6.19011 5.59496	0 33.8207 2.74095
0.00195312 5.12287 5.99794	0 28.3154 3.23797
0.00219727 6.01009 6.40089	0 32.4289 3.82685
0.00244141 6.47537 6.81241	0 36.2604 4.53006
0.00268555 6.3276 7.24016	0 36.4457 5.36748
0.00292969 6.81615 7.69005	0 34.6319 6.35265
0.00317383 7.77284 8.16572	0 56.4233 7.49046
0.00341797 9.20805 8.66867	0 94.8502 8.77722
0.00366211 7.41074 9.19855	0 42.7111 10.2033
0.00390625 10.7602 9.75385	0 110.463 11.7583
0.00415039 9.58047 10.3325	0 218.358 13.437
0.00439453 10.8253 10.9322	0 133.83 15.2458
0.00463867 12.3817 11.5514	0 159.93 17.2053
0.00488281 11.663 12.189	0 140.807 19.3454
0.00512695 11.8512 12.8445	0 165.06 21.6942
0.00537109 13.8261 13.5184	0 209 24.2596
0.00561523 12.8705 14.2119	0 134.114 27.0164
0.00585938 15.388 14.9271	0 239.658 29.9048
0.00610352 16.1269 15.667	0 324.32 32.8474
0.00634766 16.3459 16.4355	0 346.638 35.7798
0.0065918 16.5231 17.2372	0 328.296 38.6833
0.00683594 15.7317 18.0771	0 390.866 41.6062
0.00708008 20.9082 18.9599	0 587.857 44.6668
0.00732422 18.6727 19.8897	0 400.435 48.0345
0.00756836 19.7159 20.8682	0 547.289 51.8933
0.0078125 20.9668 21.8945	0 621.872 56.3944
0.00805664 20.5097 22.964	0 572.047 61.6066
0.00830078 22.9248 24.0679	0 427.152 67.4832
0.00854492 25.1106 25.1926	0 751.125 73.8627
0.00878906 26.1213 26.3206	0 736.2 80.5111
0.0090332 30.368 27.4304	0 1129.96 87.1942
0.00927734 31.5636 28.4975	0 917.86 93.7445
0.00952148 26.5892 29.4956	0 559.754 100.085
0.00976562 28.4204 30.3983	0 1023.57 106.191
0.0100098 36.6677 31.1814	0 1272.98 112.008
0.0102539 35.2907 31.8246	0 1213.83 117.383
0.010498 32.041 32.3146	0 896.518 122.06
0.0107422 36.7944 32.6464	0 1535.04 125.774
0.0109863 43.8332 32.8247	0 2454.63 128.403
0.0112305 33.5507 32.8632	0 1624.18 130.111
0.0114746 32.0071 32.7838	0 1125.95 131.384
0.0117188 31.0599 32.6128	0 1007.82 132.919
0.0119629 30.1952 32.3785	0 743.937 135.383
0.012207 30.067 32.1077	0 858.536 139.155
0.0124512 35.5109 31.8231	0 1879.78 144.133
0.0126953 27.3548 31.542	0 705.78 149.722
0.0129395 31.3339 31.2763	0 1222.27 154.987
0.0131836 32.6212 31.0334	0 1024.87 158.932
0.0134277 27.3612 30.8169	0 648.906 160.793
0.0136719 35.4485 30.629	0 3522.04 160.247
0.013916 32.4088 30.4702	0 1058.67 157.472
0.0141602 28.0218 30.3409	0 942.973 153.055
0.0144043 24.6575 30.2408	0 668.672 147.785
0.0146484 26.4608 30.1689	0 727.543 142.417
0.0148926 32.2093 30.1235	0 818.805 137.485
0.0151367 35.1421 30.1024	0 1239.75 133.207
0.0153809 32.0302 30.1028	0 993.482 129.507
0.015625 25.2796 30.1219	0 684.267 126.131
0.0158691 33.174 30.1571	0 1542.42 122.794
0.0161133 26.418 30.2067	0 810.56 119.308
0.0163574 26.8716 30.2702	0 940.041 115.637
0.0166016 31.9379 30.3481	0 1160.39 111.878
0.0168457 33.9282 30.4429	0 1068.97 108.196
0.0170898 33.2252 30.5585	0 1211.83 104.759
0.017334 29.4248 30.7003	0 1487.29 101.705
0.0175781 27.3843 30.8742	0 619.317 99.136
0.0178223 29.9216 31.0861	0 856.817 97.1279
0.0180664 30.4537 31.3409	0 1094.08 95.7308
0.0183105 32.5417 31.6415	0 979.23 94.971
0.0185547 29.2972 31.9888	0 1162.91 94.8649
0.0187988 26.2381 32.3818	0 597.895 95.4518
0.019043 39.9645 32.8185	0 2369.49 96.8295
0.0192871 33.2974 33.2965	0 901.253 99.1656
0.0195312 34.8029 33.8142	0 924.541 102.67
0.0197754 32.9425 34.3702	0 1513.26 107.543
0.0200195 31.621 34.9634	0 1085.81 113.939
0.0202637 34.7839 35.5916	0 1624.43 121.961
0.0205078 39.8451 36.2504	0 2101.45 131.672
0.020752 33.5345 36.9319	0 936.807 143.076
0.0209961 33.6683 37.6243	0 965.663 156.026
0.0212402 39.7454 38.3123	0 1600.92 170.082
0.0214844 36.3797 38.9786	0 1254.76 184.41
0.0217285 46.6071 39.606	0 2226.36 197.842
0.0219727 42.6414 40.1799	0 3357.06 209.126
0.0222168 42.1623 40.6906	0 1939.34 217.304
0.0224609 41.231 41.1346	0 3219.46 222.06
0.0227051 46.2423 41.5157	0 2663.68 223.86
0.0229492 36.2957 41.8435	0 1418.68 223.824
0.0231934 46.1678 42.1327	0 2186.11 223.367
0.0234375 41.3677 42.4002	0 1930.9 223.78
0.0236816 42.0074 42.6629	0 2145.63 225.865
0.0239258 42.2503 42.9355	0 1684.11 229.742
0.0241699 44.2296 43.2287	0 1644.15 234.839
0.0244141 38.3722 43.5482	0 1229.42 240.076
0.0246582 41.7992 43.8949	0 2371.8 244.178
0.0249023 45.9829 44.2655	0 3350.21 246.069
0.0251465 46.8244 44.6542	0 3803.2 245.213
0.0253906 45.8596 45.0546	0 1939.99 241.775
0.0256348 44.3912 45.4613	0 2569.86 236.527
0.0258789 45.3546 45.8717	0 1851.06 230.534
0.026123 50.5253 46.2864	0 2004.75 224.774
0.0263672 43.4799 46.7097	0 1884.75 219.862
0.0266113 47.0069 47.1478	0 2351.45 215.997
0.0268555 46.8679 47.6077	0 3125.78 213.115
0.0270996 50.5486 48.0947	0 2606.99 211.122
0.0273438 48.6206 48.6104	0 2655.72 210.086
0.0275879 40.6372 49.1511	0 1665.34 210.302
0.027832 51.4827 49.7074	0 2417.58 212.242
0.0280762 46.4631 50.2648	0 2312.78 216.422
0.0283203 53.3545 50.8068	0 3064.83 223.235
0.0285645 55.9527 51.3179	0 3294.33 232.775
0.0288086 52.2993 51.7874	0 2585.42 244.704
0.0290527 57.2683 52.2131	0 4136.51 258.211
0.0292969 53.3778 52.603	0 2670.38 272.141
0.029541 52.9313 52.975	0 3117.45 285.29
