#<radius micrometers> <WT> <Ts65Dn> <TgDyrk1A>
0 0 0 0
10 0 0 1
20 1 7 5
30 5 15 10
40 9 17 14
50 12 19 15
60 15 19 15
70 15 18 16
80 17 19 15
90 16 17 13
100 16 15 nan
110 15 15 nan
120 15 13 nan
130 14 18 nan
140 15 nan nan
150 14 nan nan
160 14 nan nan
170 13 nan nan
180 14 nan nan
190 13 nan nan
200 12 nan nan
210 13 nan nan
220 14 nan nan
230 14 nan nan
   
