637 18 1
1537 22 1
0 79 -1
320 44 -1
1491 19 1
405 75 -1
305 8 -1
1983 41 1
1003 28 1
2229 2 1
999 5 1
730 21 1
640 1 
2355 9 1
1467 16 1
1057 13 1
1761 40 1
1712 1 
2038 10 1
1208 13 1
2922 3 1
3032 23 1
481 68 -1
1380 5 1
1113 10 1
1086 10 1
2524 1 
1027 10 1
680 24 1
1548 10 1
1957 29 1
336 21 -1
118 31 -1
2886 3 1
1801 26 1
1424 29 1
2101 27 1
2138 6 1
1141 15 1
2092 15 1
1081 34 1
1333 19 1
2172 10 1
1561 14 1
1722 5 1
2575 1 
156 20 -1
2055 10 1
1851 6 1
2184 20 1
546 40 -1
1979 16 1
2118 8 1
1677 18 1
3033 21 1
2758 22 1
1087 21 1
1411 42 1
2328 29 1
2630 15 1
2373 12 1
2743 33 1
696 10 1
247 10 -1
417 2 -1
1541 31 1
2139 28 1
2531 24 1
1366 27 1
478 124 -1
2078 15 1
2572 9 1
2221 39 1
270 6 -1
1930 33 1
1632 22 1
1953 14 1
1901 29 1
324 62 -1
805 9 1
2173 18 1
2069 6 1
2417 42 1
2243 21 1
1259 30 1
1300 9 1
393 160 -1
230 71 -1
3034 7 1
2211 9 1
1571 3 1
1090 7 1
1463 6 1
196 149 -1
652 37 1
2725 2 1
1959 13 1
2547 12 1
1663 28 1
2875 22 1
937 25 1
171 10 -1
636 28 1
2064 10 1
2771 31 1
2468 18 1
1207 22 1
599 55 -1
2590 45 1
923 11 1
1931 16 1
295 46 -1
2174 9 1
316 1 
1068 7 1
2261 31 1
2986 36 1
1349 17 1
381 42 -1
1310 33 1
1338 9 1
2808 41 1
2695 25 1
241 39 -1
2304 8 1
1806 31 1
2440 32 1
1173 28 1
1031 10 1
1935 22 1
491 8 -1
1942 23 1
1905 36 1
103 2 -1
1669 38 1
550 73 -1
1635 3 1
494 76 -1
335 68 -1
1721 34 1
1887 2 1
1272 44 1
80 14 -1
764 29 1
1189 4 1
2788 42 1
2733 49 1
2371 19 1
2030 4 1
2070 3 1
2125 1 
161 11 -1
5 71 -1
2240 41 1
1196 31 1
2987 1 
152 98 -1
1109 13 1
2762 33 1
606 2 -1
589 49 -1
2817 10 1
782 8 1
843 20 1
2207 1 
830 22 1
2454 28 1
2798 17 1
1502 4 1
1890 36 1
1326 10 1
29 80 -1
2113 25 1
580 61 -1
163 59 -1
2075 11 1
1521 32 1
2749 18 1
1713 5 1
626 6 1
1312 10 1
2715 22 1
2583 7 1
1238 17 1
700 3 1
2649 17 1
1870 5 1
2317 10 1
1908 23 1
1940 16 1
1106 37 1
392 58 -1
1197 35 1
2307 17 1
1668 27 1
1780 18 1
2209 25 1
1446 15 1
1891 30 1
1156 20 1
2571 32 1
1078 23 1
831 4 1
1008 12 1
2877 12 1
432 54 -1
1355 41 1
243 3 -1
281 13 -1
219 9 -1
30 1 
1530 30 1
1858 4 1
895 23 1
137 12 -1
2428 8 1
1719 18 1
2081 5 1
1883 28 1
1241 14 1
45 14 -1
613 16 1
510 1 
1395 26 1
425 153 -1
2580 32 1
1672 6 1
2343 25 1
310 21 -1
278 69 -1
1370 42 1
95 8 -1
1584 7 1
1298 2 1
2633 16 1
20 96 -1
2602 16 1
573 49 -1
2119 19 1
934 3 1
2577 10 1
1755 10 1
1346 10 1
2927 37 1
2907 11 1
1041 36 1
1213 24 1
1805 19 1
2130 7 1
1116 24 1
2851 47 1
2136 2 1
732 16 1
2694 14 1
2271 10 1
240 101 -1
1559 5 1
2721 33 1
2194 14 1
2273 33 1
785 8 1
2181 4 1
2620 8 1
2033 16 1
2674 45 1
1987 11 1
1746 5 1
2705 1 
1077 1 
2146 7 1
2776 31 1
2353 28 1
507 111 -1
1327 22 1
2728 15 1
386 47 -1
997 42 1
2949 8 1
2664 10 1
2967 16 1
1468 1 
1831 11 1
2283 3 1
789 3 1
269 1 
914 21 1
1117 12 1
2726 14 1
1826 19 1
2484 42 1
1417 32 1
2679 37 1
869 34 1
543 6 -1
2063 4 1
1926 14 1
918 10 1
2543 27 1
177 99 -1
2671 7 1
568 116 -1
75 14 -1
2449 2 1
2998 29 1
2748 22 1
2608 38 1
2621 25 1
372 18 -1
1605 1 
2363 24 1
1088 28 1
1535 3 1
2777 9 1
1450 32 1
2378 7 1
2404 35 1
1657 33 1
2665 22 1
522 4 -1
767 33 1
2177 31 1
2570 3 1
2751 22 1
1132 17 1
1192 26 1
2769 31 1
2530 17 1
2290 16 1
2689 42 1
322 152 -1
1758 6 1
1398 3 1
179 85 -1
1267 18 1
1240 1 
1494 30 1
1703 7 1
1280 34 1
2382 28 1
1608 9 1
2859 25 1
77 158 -1
1369 6 1
2466 22 1
345 47 -1
534 20 -1
607 1 
677 39 1
944 4 1
2765 41 1
2155 30 1
1483 17 1
1264 4 1
2807 34 1
188 60 -1
1360 14 1
418 3 -1
2225 12 1
24 10 -1
1974 9 1
2701 17 1
1724 4 1
2865 36 1
1898 35 1
1235 16 1
598 59 -1
250 76 -1
2992 7 1
1119 28 1
1476 23 1
1650 5 1
400 101 -1
1215 45 1
2710 20 1
238 14 -1
1399 9 1
2098 14 1
1943 7 1
2300 41 1
2873 41 1
1161 7 1
27 10 -1
1615 8 1
2375 34 1
1944 17 1
564 4 -1
651 17 1
954 31 1
406 17 -1
930 29 1
340 7 -1
890 7 1
723 4 1
841 6 1
2566 8 1
2205 28 1
2235 25 1
2624 21 1
685 11 1
2202 51 1
25 82 -1
1613 29 1
2883 29 1
649 6 1
74 66 -1
1948 13 1
1547 9 1
2826 43 1
2325 20 1
979 25 1
2345 27 1
1919 30 1
2656 7 1
452 1 
514 44 -1
2692 18 1
2646 30 1
741 24 1
1477 20 1
239 53 -1
1556 15 1
1915 1 
1442 38 1
529 64 -1
2537 54 1
801 37 1
1800 8 1
1318 23 1
2619 13 1
2156 8 1
2049 7 1
2420 2 1
597 38 -1
1689 15 1
1588 31 1
964 55 1
1464 8 1
2750 1 
1913 24 1
2312 32 1
2659 26 1
2206 9 1
501 7 -1
321 5 -1
1341 5 1
1295 21 1
181 105 -1
2773 12 1
591 4 -1
438 4 -1
1769 1 
2858 2 1
1659 17 1
1385 11 1
308 12 -1
1147 40 1
274 14 -1
714 30 1
1794 41 1
2106 42 1
60 31 -1
1458 31 1
1582 17 1
2488 15 1
2918 39 1
1497 7 1
402 7 -1
421 80 -1
2306 28 1
1291 10 1
966 4 1
264 84 -1
1020 16 1
221 2 -1
90 71 -1
2538 48 1
2052 3 1
1760 31 1
2044 17 1
1275 32 1
554 151 -1
871 1 
2615 1 
1227 41 1
2217 5 1
2596 18 1
262 69 -1
839 7 1
1274 2 1
249 52 -1
2910 51 1
2989 7 1
290 140 -1
2611 41 1
2947 8 1
972 17 1
2080 34 1
931 43 1
2252 41 1
1093 42 1
2057 45 1
448 8 -1
62 72 -1
1307 26 1
2437 23 1
710 3 1
577 39 -1
736 9 1
2872 11 1
2609 29 1
835 3 1
2351 30 1
1362 42 1
1221 15 1
2558 2 1
2867 13 1
2165 4 1
3011 33 1
411 38 -1
454 14 -1
2477 1 
2979 11 1
2190 15 1
794 50 1
2280 41 1
1466 15 1
93 134 -1
1578 43 1
2193 11 1
2412 3 1
91 52 -1
2367 35 1
618 36 1
2045 1 
1056 40 1
1542 27 1
1924 4 1
192 1 
2852 42 1
2509 35 1
2060 42 1
2507 16 1
610 21 1
1546 1 
2672 17 1
1373 16 1
1918 14 1
298 23 -1
857 5 1
1956 34 1
602 17 -1
63 22 -1
1715 1 
2723 38 1
1914 5 1
1779 29 1
1480 47 1
2279 21 1
2310 30 1
1407 28 1
1874 24 1
234 60 -1
2461 2 1
2144 41 1
1553 19 1
