0 86 -1
320 56 -1
405 151 -1
1491 39 1
1983 12 1
1336 13 1
1003 14 1
305 50 -1
1761 28 1
1467 3 1
999 12 1
2355 17 1
2229 5 1
1057 16 1
640 50 1
730 22 1
1712 15 1
1208 16 1
2038 21 1
2660 35 1
2922 21 1
1380 26 1
481 7 -1
1069 14 1
3032 38 1
1113 24 1
1086 25 1
1957 9 1
1548 5 1
680 38 1
2524 10 1
336 19 -1
1801 4 1
2886 27 1
2809 14 1
1424 32 1
118 39 -1
2101 8 1
2138 5 1
1141 3 1
1081 21 1
950 19 1
2172 6 1
1333 11 1
1561 26 1
1722 16 1
2575 21 1
2403 1 
2055 38 1
2184 28 1
546 2 -1
1979 1 
2118 24 1
1543 11 1
2758 25 1
1677 7 1
3033 32 1
1375 42 1
2630 10 1
1411 13 1
1087 18 1
2373 4 1
696 1 
441 31 -1
2743 7 1
791 7 1
1541 12 1
478 9 -1
2139 29 1
247 38 -1
1366 38 1
2531 1 
2078 29 1
417 107 -1
1930 11 1
2421 25 1
270 41 -1
2572 3 1
1632 46 1
2221 11 1
1953 8 1
1901 26 1
805 24 1
1120 42 1
324 56 -1
2173 23 1
2069 19 1
2417 31 1
2243 29 1
1259 15 1
1300 3 1
393 148 -1
230 48 -1
3034 35 1
1463 18 1
1090 2 1
196 55 -1
2211 9 1
652 68 1
1571 38 1
1959 35 1
2725 8 1
1663 5 1
2875 41 1
2547 12 1
937 1 
2064 4 1
171 2 -1
2771 14 1
636 14 1
2468 2 1
599 21 1
1931 3 1
295 14 -1
2590 21 1
2869 21 1
1962 18 1
2174 22 1
316 4 -1
1068 29 1
1349 19 1
2261 43 1
2986 24 1
381 97 -1
1310 22 1
2695 17 1
1338 23 1
2808 24 1
2304 1 
241 77 -1
1806 3 1
1173 47 1
1031 8 1
1935 2 1
1905 10 1
491 145 -1
1942 38 1
1669 2 1
103 2 -1
1635 25 1
335 22 -1
550 60 -1
494 46 -1
1721 9 1
1887 2 1
80 35 -1
1272 2 1
2788 16 1
1189 17 1
764 20 1
2733 30 1
2371 15 1
2240 2 1
2125 3 1
2070 6 1
2030 20 1
5 14 -1
390 138 -1
161 3 -1
1196 10 1
1109 40 1
2987 21 1
2817 41 1
606 39 1
782 9 1
2207 4 1
830 36 1
720 22 1
2454 47 1
843 39 1
2798 32 1
1890 29 1
1326 4 1
12 151 -1
1502 26 1
29 18 -1
2113 59 1
580 4 1
163 54 -1
2075 23 1
1713 5 1
626 14 1
2749 3 1
2715 19 1
1312 11 1
700 9 1
1238 10 1
1870 6 1
1106 13 1
1940 24 1
392 130 -1
2317 32 1
2307 27 1
1197 16 1
1668 24 1
2209 46 1
1446 32 1
1891 10 1
1156 26 1
2571 18 1
1008 18 1
2877 5 1
1355 29 1
432 17 -1
281 21 -1
219 149 -1
243 24 -1
30 15 -1
1530 15 1
137 96 -1
895 13 1
2081 12 1
1719 3 1
2428 26 1
1241 23 1
45 6 -1
2580 23 1
613 21 1
1395 36 1
425 7 -1
1370 9 1
1672 29 1
278 26 -1
2343 40 1
310 90 -1
2633 4 1
1298 41 1
2602 50 1
95 66 -1
1584 29 1
2119 1 
573 10 1
1199 8 1
1755 1 
2927 12 1
2577 11 1
1346 12 1
934 44 1
2907 1 
1041 19 1
1213 4 1
2130 21 1
2381 15 1
2851 10 1
1805 32 1
2694 1 
2136 14 1
732 8 1
240 22 -1
1559 14 1
2271 30 1
2721 6 1
2194 28 1
2273 12 1
2674 14 1
1987 3 1
2620 28 1
785 20 1
2181 24 1
2033 25 1
1746 18 1
2705 26 1
1077 19 1
1849 19 1
1327 4 1
2146 32 1
2776 20 1
507 241 -1
2353 38 1
386 35 -1
2728 22 1
997 10 1
2967 24 1
2949 13 1
2283 10 1
1468 4 1
789 31 1
269 42 -1
914 1 
1117 1 
1417 3 1
1826 1 
2484 19 1
2726 8 1
869 4 1
2679 4 1
177 29 -1
2543 1 
543 28 -1
2063 23 1
918 13 1
1926 15 1
75 4 -1
568 10 -1
2671 11 1
2621 9 1
2748 1 
2608 22 1
2073 15 1
2998 38 1
2449 12 1
359 44 -1
372 11 -1
1605 4 1
1088 29 1
2363 42 1
1450 14 1
2777 11 1
1535 18 1
2404 22 1
1657 25 1
2177 44 1
522 11 -1
2665 3 1
767 38 1
2570 6 1
2903 19 1
2769 16 1
1132 61 1
1192 34 1
965 8 1
2689 3 1
322 18 -1
1758 34 1
2530 18 1
179 1 
1398 7 1
1267 45 1
2797 29 1
1494 16 1
2382 11 1
1703 7 1
1240 38 1
1280 42 1
2859 15 1
1329 41 1
1608 13 1
77 36 -1
1369 39 1
2466 5 1
677 4 1
534 38 -1
944 25 1
2765 6 1
2155 14 1
2640 24 1
207 7 -1
2807 13 1
1483 29 1
1264 2 1
2225 12 1
418 4 -1
24 144 -1
1360 46 1
1974 4 1
2701 30 1
1724 24 1
2865 14 1
1235 4 1
250 35 -1
1898 26 1
2992 4 1
400 3 -1
1215 37 1
1650 14 1
643 5 1
1399 6 1
2710 16 1
238 28 -1
2794 51 1
1943 1 
2300 23 1
2098 9 1
212 70 -1
2873 27 1
1161 25 1
27 5 -1
1615 9 1
1944 29 1
2375 2 1
651 4 1
930 7 1
954 14 1
564 26 -1
2205 12 1
340 7 -1
2235 9 1
2566 14 1
841 28 1
890 40 1
723 5 1
2624 27 1
25 1 
685 45 1
2202 5 1
1613 28 1
2179 3 1
2883 29 1
649 26 1
74 4 -1
673 39 1
1948 19 1
1547 7 1
2826 13 1
2325 17 1
451 29 -1
1919 14 1
2345 39 1
979 29 1
2656 4 1
514 11 -1
452 114 -1
2692 31 1
741 6 1
603 8 1
1477 27 1
239 7 -1
2646 57 1
1868 41 1
2537 9 1
1556 22 1
529 8 -1
1442 10 1
801 13 1
1915 43 1
2305 21 1
1318 6 1
1800 29 1
1877 16 1
2619 41 1
409 4 -1
597 12 1
2420 18 1
1588 5 1
964 26 1
1689 27 1
2156 39 1
2049 6 1
2312 16 1
1464 35 1
1913 42 1
2206 32 1
2659 42 1
1341 29 1
2773 6 1
181 71 -1
1295 7 1
438 32 -1
591 10 1
1769 2 1
1385 1 
2858 22 1
1842 9 1
714 14 1
1794 24 1
308 43 -1
274 71 -1
1147 6 1
2106 39 1
60 10 -1
2938 2 1
1582 15 1
1458 30 1
2488 29 1
2918 31 1
1497 2 1
402 5 -1
2306 22 1
421 3 -1
966 17 1
264 6 -1
1020 26 1
1291 16 1
90 2 -1
221 77 -1
2538 11 1
554 30 -1
2052 21 1
1760 8 1
2044 3 1
1275 30 1
2615 16 1
2217 10 1
1227 41 1
871 14 1
839 17 1
262 151 -1
2596 4 1
1274 4 1
429 14 -1
290 2 -1
2910 21 1
2611 13 1
249 42 -1
2989 6 1
2947 10 1
972 4 1
2080 24 1
2258 30 1
2252 56 1
931 27 1
2057 13 1
1093 31 1
1353 25 1
1307 6 1
62 20 -1
448 13 -1
1998 25 1
577 7 1
710 45 1
2437 42 1
736 42 1
