0 8 -1
1537 11 1
637 12 1
405 1 
1491 9 1
320 22 -1
1003 15 1
1336 2 1
305 42 -1
1983 28 1
640 4 1
999 6 1
1467 28 1
2355 25 1
1761 33 1
2229 24 1
730 27 1
1057 16 1
1208 13 1
2038 40 1
1712 6 1
2922 32 1
2660 17 1
1069 12 1
481 1 
1380 12 1
3032 5 1
1113 14 1
1086 14 1
1957 3 1
680 18 1
1548 5 1
1027 12 1
2524 19 1
336 10 -1
2886 2 1
1801 16 1
118 10 -1
2809 17 1
1424 23 1
2138 23 1
2101 22 1
2092 28 1
1081 4 1
2172 26 1
1333 6 1
1561 41 1
2403 29 1
2575 17 1
156 39 -1
2055 7 1
546 7 -1
1851 7 1
2184 10 1
1543 3 1
1979 24 1
2118 30 1
2758 3 1
236 4 -1
1677 10 1
3033 40 1
1411 47 1
2328 7 1
2630 15 1
1087 16 1
2373 1 
696 9 1
441 80 -1
2743 16 1
791 3 1
2139 2 1
1366 1 
2078 11 1
1541 6 1
478 11 -1
247 11 -1
2531 7 1
417 62 -1
2221 4 1
2421 11 1
270 17 -1
1930 21 1
2572 37 1
1901 8 1
324 14 -1
1953 19 1
1120 34 1
805 9 1
2173 12 1
2069 4 1
2417 4 1
2243 1 
1259 18 1
1300 3 1
230 34 -1
393 3 -1
3034 32 1
2211 8 1
1090 5 1
1463 8 1
1571 22 1
196 12 -1
652 9 1
2547 2 1
2875 9 1
2725 10 1
1959 10 1
1663 30 1
937 10 1
2064 31 1
2771 33 1
171 32 -1
636 20 1
2468 13 1
1207 20 1
599 16 1
923 10 1
2869 5 1
295 5 -1
2590 21 1
1931 14 1
1962 11 1
2174 4 1
2986 2 1
316 53 -1
1349 8 1
1068 14 1
2261 10 1
381 1 
1310 1 
2808 1 
1338 9 1
2695 5 1
2440 25 1
1806 23 1
241 51 -1
2304 20 1
1173 25 1
1031 4 1
1905 14 1
1942 2 1
491 45 -1
1935 32 1
103 80 -1
1669 3 1
1635 12 1
550 3 -1
335 151 -1
494 11 -1
1721 12 1
1272 18 1
80 40 -1
1887 17 1
764 20 1
2733 4 1
1189 31 1
2788 7 1
2371 14 1
161 1 
2070 13 1
390 5 -1
2125 22 1
5 8 -1
2240 22 1
2030 11 1
1196 1 
2987 40 1
1109 3 1
